Length,HU
0.1,135
0.2,138
0.3,141
0.4,145
0.5,149
0.6,153
0.7,157
0.8,161
0.9,166
1,171
1.1,176
1.2,181
1.3,186
1.4,191
1.5,197
1.6,202
1.7,208
1.8,213
1.9,219
2,224
2.1,230
2.2,236
2.3,242
2.4,248
2.5,253
2.6,259
2.7,265
2.8,271
2.9,277
3,283
3.1,289
3.2,295
3.3,301
3.4,306
3.5,311
3.6,316
3.7,321
3.8,326
3.9,330
4,334
4.1,338
4.2,342
4.3,346
4.4,349
4.5,351
4.6,354
4.7,356
4.8,358
4.9,360
5,362
5.1,363
5.2,365
5.3,366
5.4,368
5.5,369
5.6,370
5.7,371
5.8,372
5.9,373
6,374
6.1,374
6.2,374
6.3,375
6.4,375
6.5,375
6.6,375
6.7,375
6.8,375
6.9,376
7,376
7.1,376
7.2,376
7.3,377
7.4,377
7.5,377
7.6,377
7.7,378
7.8,378
7.9,378
8,377
8.1,377
8.2,376
8.3,376
8.4,375
8.5,374
8.6,374
8.7,373
8.8,372
8.9,371
9,370
9.1,369
9.2,368
9.3,367
9.4,366
9.5,365
9.6,364
9.7,362
9.8,360
9.9,359
10,357
10.1,355
10.2,353
10.3,350
10.4,348
10.5,345
10.6,343
10.7,340
10.8,337
10.9,334
11,331
11.1,328
11.2,324
11.3,321
11.4,318
11.5,314
11.6,310
11.7,306
11.8,302
11.9,298
12,294
12.1,289
12.2,285
12.3,280
12.4,276
12.5,271
12.6,265
12.7,260
12.8,255
12.9,249
13,244
13.1,238
13.2,232
13.3,227
13.4,221
13.5,216
13.6,210
13.7,204
13.8,199
13.9,193
14,188
14.1,182
14.2,177
14.3,172
14.4,168
14.5,163
14.6,158
14.7,154
14.8,150
14.9,147
15,144
15.1,141
15.2,138
15.3,135
15.4,133
15.5,131
15.6,130
15.7,128
15.8,127
15.9,125
16,124
16.1,123
16.2,122
16.3,122
16.4,121
16.5,120
16.6,119
16.7,118
16.8,117
16.9,116
17,115
17.1,114
17.2,113
17.3,112
17.4,112
17.5,111
17.6,111
17.7,111
17.8,111
17.9,111
18,111
18.1,111
18.2,112
18.3,112
18.4,112
18.5,112
18.6,112
18.7,112
18.8,112
18.9,112
19,112
19.1,112
19.2,112
19.3,111
19.4,111
19.5,111
19.6,111
19.7,111
19.8,111
19.9,110
20,110
20.1,109
20.2,109
20.3,108
20.4,108
20.5,107
20.6,106
20.7,106
20.8,105
20.9,105
21,105
21.1,104
21.2,104
21.3,104
21.4,105
21.5,105
21.6,105
21.7,106
21.8,107
21.9,107
22,108
22.1,109
22.2,110
22.3,110
22.4,111
22.5,111
22.6,111
22.7,112
22.8,112
22.9,112
23,112
23.1,112
23.2,111
23.3,111
23.4,110
23.5,109
23.6,108
23.7,107
23.8,106
23.9,105
24,104
24.1,103
24.2,101
24.3,100
24.4,99
24.5,98
24.6,97
24.7,96
24.8,95
24.9,94
25,94
25.1,93
25.2,93
25.3,93
25.4,93
25.5,93
25.6,94
25.7,94
25.8,95
25.9,96
26,97
26.1,98
26.2,99
26.3,100
26.4,100
26.5,101
26.6,102
26.7,102
26.8,103
26.9,104
27,104
27.1,105
27.2,105
27.3,106
27.4,106
27.5,107
27.6,107
27.7,108
27.8,109
27.9,110
28,111
28.1,112
28.2,113
28.3,114
28.4,115
28.5,116
28.6,117
28.7,118
28.8,118
28.9,119
29,120
29.1,121
29.2,122
29.3,123
29.4,124
29.5,125
29.6,126
29.7,127
29.8,129
29.9,131
30,133
30.1,136
30.2,138
30.3,141
30.4,144
30.5,148
30.6,151
30.7,155
30.8,159
30.9,163
31,169
31.1,174
31.2,180
31.3,186
31.4,192
31.5,198
31.6,206
31.7,213
31.8,221
31.9,228
32,236
32.1,244
32.2,252
32.3,260
32.4,268
32.5,277
32.6,285
32.7,293
32.8,301
32.9,309
33,317
33.1,326
33.2,334
33.3,341
33.4,349
33.5,356
33.6,363
33.7,370
33.8,377
33.9,384
34,390
34.1,396
34.2,403
34.3,409
34.4,414
34.5,419
34.6,423
34.7,427
34.8,431
34.9,435
35,437
35.1,440
35.2,442
35.3,444
35.4,447
35.5,449
35.6,450
35.7,451
35.8,453
35.9,453
36,454
36.1,455
36.2,456
36.3,457
36.4,458
36.5,459
36.6,460
36.7,461
36.8,462
36.9,463
37,464
37.1,465
37.2,466
37.3,467
37.4,468
37.5,468
37.6,469
37.7,470
37.8,470
37.9,471
38,471
38.1,472
38.2,472
38.3,472
38.4,472
38.5,473
38.6,473
38.7,473
38.8,474
38.9,474
39,474
39.1,475
39.2,475
39.3,475
39.4,476
39.5,476
39.6,476
39.7,476
39.8,477
39.9,477
40,478
40.1,478
40.2,479
40.3,479
40.4,480
40.5,480
40.6,481
40.7,481
40.8,482
40.9,482
41,482
41.1,483
41.2,483
41.3,483
41.4,483
41.5,483
41.6,483
41.7,483
41.8,483
41.9,483
42,482
42.1,482
42.2,481
42.3,481
42.4,480
42.5,480
42.6,479
42.7,479
42.8,478
42.9,478
43,478
43.1,478
43.2,477
43.3,477
43.4,478
43.5,478
43.6,478
43.7,479
43.8,480
43.9,480
44,481
44.1,482
44.2,482
44.3,483
44.4,484
44.5,485
44.6,485
44.7,486
44.8,486
44.9,486
45,486
45.1,485
45.2,485
45.3,484
45.4,484
45.5,483
45.6,482
45.7,481
45.8,480
45.9,479
46,478
46.1,478
46.2,477
46.3,476
46.4,476
46.5,475
46.6,475
46.7,474
46.8,474
46.9,473
47,473
47.1,473
47.2,473
47.3,473
47.4,473
47.5,474
47.6,474
47.7,475
47.8,476
47.9,477
48,478
48.1,479
48.2,480
48.3,481
48.4,482
48.5,483
48.6,483
48.7,484
48.8,484
48.9,484
49,483
49.1,482
49.2,482
49.3,481
49.4,480
49.5,479
49.6,477
49.7,476
49.8,474
49.9,472
50,471
50.1,469
50.2,467
50.3,465
50.4,464
50.5,462
50.6,461
50.7,459
50.8,458
50.9,456
51,455
51.1,453
51.2,451
51.3,450
51.4,448
51.5,446
51.6,445
51.7,443
51.8,442
51.9,440
52,439
52.1,437
52.2,436
52.3,435
52.4,435
52.5,435
52.6,434
52.7,434
52.8,434
52.9,434
53,435
53.1,436
53.2,437
53.3,438
53.4,439
53.5,440
53.6,442
53.7,444
53.8,445
53.9,447
54,448
54.1,449
54.2,450
54.3,452
54.4,453
54.5,454
54.6,455
54.7,457
54.8,458
54.9,459
55,460
55.1,462
55.2,463
55.3,464
55.4,465
55.5,467
55.6,468
55.7,469
55.8,470
55.9,471
56,472
56.1,472
56.2,473
56.3,473
56.4,474
56.5,474
56.6,475
56.7,475
56.8,475
56.9,475
57,474
57.1,474
57.2,473
57.3,473
57.4,472
57.5,471
57.6,470
57.7,468
57.8,467
57.9,466
58,465
58.1,464
58.2,463
58.3,462
58.4,462
58.5,461
58.6,461
58.7,461
58.8,461
58.9,461
59,462
59.1,463
59.2,464
59.3,464
59.4,465
59.5,466
59.6,467
59.7,468
59.8,468
59.9,469
60,469
60.1,470
60.2,471
60.3,471
60.4,472
60.5,472
60.6,473
60.7,473
60.8,473
60.9,474
61,474
61.1,474
61.2,475
61.3,475
61.4,475
61.5,476
61.6,476
61.7,477
61.8,478
61.9,478
62,479
62.1,479
62.2,480
62.3,480
62.4,481
62.5,481
62.6,481
62.7,481
62.8,481
62.9,481
63,481
63.1,481
63.2,481
63.3,480
63.4,479
63.5,479
63.6,478
63.7,477
63.8,476
63.9,475
64,475
64.1,474
64.2,474
64.3,474
64.4,474
64.5,474
64.6,474
64.7,475
64.8,475
64.9,476
65,477
65.1,478
65.2,479
65.3,480
65.4,481
65.5,482
65.6,483
65.7,484
65.8,485
65.9,486
66,486
66.1,487
66.2,487
66.3,487
66.4,487
66.5,487
66.6,488
66.7,488
66.8,487
66.9,487
67,487
67.1,487
67.2,486
67.3,486
67.4,486
67.5,485
67.6,485
67.7,484
67.8,484
67.9,483
68,483
68.1,482
68.2,482
68.3,481
68.4,481
68.5,480
68.6,480
68.7,479
68.8,479
68.9,478
69,478
69.1,477
69.2,477
69.3,477
69.4,477
69.5,476
69.6,477
69.7,477
69.8,478
69.9,479
70,479
70.1,480
70.2,481
70.3,483
70.4,484
70.5,485
70.6,487
70.7,488
70.8,489
70.9,490
71,491
71.1,492
71.2,493
71.3,494
71.4,493
71.5,493
71.6,493
71.7,493
71.8,493
71.9,492
72,491
72.1,490
72.2,489
72.3,488
72.4,487
72.5,486
72.6,485
72.7,484
72.8,483
72.9,483
73,482
73.1,481
73.2,481
73.3,480
73.4,480
73.5,480
73.6,479
73.7,479
73.8,478
73.9,478
74,477
74.1,476
74.2,475
74.3,474
74.4,472
74.5,471
74.6,469
74.7,468
74.8,466
74.9,464
75,462
75.1,460
75.2,458
75.3,456
75.4,453
75.5,450
75.6,447
75.7,444
75.8,441
75.9,438
76,434
76.1,430
76.2,426
76.3,422
76.4,417
76.5,413
76.6,407
76.7,401
76.8,396
76.9,390
77,385
77.1,379
77.2,372
77.3,366
77.4,360
77.5,354
77.6,348
77.7,342
77.8,335
77.9,329
78,322
78.1,316
78.2,310
78.3,304
78.4,299
78.5,293
