Length,HU
0.1,183
0.2,183
0.3,183
0.4,182
0.5,181
0.6,180
0.7,178
0.8,176
0.9,175
1,176
1.1,178
1.2,179
1.3,179
1.4,180
1.5,180
1.6,181
1.7,181
1.8,182
1.9,183
2,185
2.1,186
2.2,186
2.3,186
2.4,186
2.5,187
2.6,188
2.7,187
2.8,186
2.9,185
3,185
3.1,185
3.2,185
3.3,187
3.4,189
3.5,192
3.6,195
3.7,198
3.8,203
3.9,207
4,210
4.1,212
4.2,214
4.3,215
4.4,217
4.5,216
4.6,213
4.7,210
4.8,207
4.9,204
5,201
5.1,196
5.2,190
5.3,185
5.4,180
5.5,176
5.6,173
5.7,174
5.8,177
5.9,179
6,181
6.1,184
6.2,186
6.3,190
6.4,193
6.5,196
6.6,199
6.7,202
6.8,204
6.9,206
7,207
7.1,208
7.2,207
7.3,206
7.4,207
7.5,209
7.6,211
7.7,214
7.8,217
7.9,221
8,224
8.1,226
8.2,227
8.3,227
8.4,227
8.5,226
8.6,228
8.7,230
8.8,233
8.9,236
9,240
9.1,241
9.2,239
9.3,237
9.4,235
9.5,233
9.6,230
9.7,228
9.8,226
9.9,225
10,225
10.1,226
10.2,227
10.3,228
10.4,228
10.5,228
10.6,227
10.7,228
10.8,228
10.9,227
11,227
11.1,229
11.2,231
11.3,234
11.4,235
11.5,235
11.6,235
11.7,235
11.8,235
11.9,234
12,234
12.1,233
12.2,233
12.3,232
12.4,232
12.5,232
12.6,232
12.7,232
12.8,233
12.9,234
13,236
13.1,239
13.2,239
13.3,238
13.4,236
13.5,232
13.6,228
13.7,222
13.8,214
13.9,206
14,199
14.1,192
14.2,186
14.3,183
14.4,184
14.5,184
14.6,185
14.7,187
14.8,188
14.9,187
15,186
15.1,184
15.2,183
15.3,181
15.4,179
15.5,173
15.6,168
15.7,163
15.8,158
15.9,154
16,149
16.1,144
16.2,139
16.3,134
16.4,130
16.5,126
16.6,124
16.7,123
16.8,121
16.9,119
17,116
17.1,112
17.2,109
17.3,105
17.4,102
17.5,101
17.6,100
17.7,99
17.8,101
17.9,102
18,104
18.1,105
18.2,105
18.3,106
18.4,106
18.5,106
18.6,106
18.7,106
18.8,105
18.9,105
19,105
19.1,104
19.2,103
19.3,100
19.4,97
19.5,94
19.6,91
19.7,88
19.8,85
19.9,82
20,79
20.1,80
20.2,81
20.3,82
20.4,83
20.5,85
20.6,86
20.7,86
20.8,85
20.9,84
21,82
21.1,81
21.2,79
21.3,76
21.4,73
21.5,69
21.6,65
21.7,60
21.8,55
21.9,52
22,49
22.1,46
22.2,44
22.3,42
22.4,41
22.5,42
22.6,43
22.7,44
22.8,45
22.9,46
23,49
23.1,52
23.2,57
23.3,63
23.4,70
23.5,78
23.6,78
23.7,79
23.8,79
