type,edge_num,rec,thick,add,num_of_elements,mean,sd
m,2,f,0,2,29,102.847853073447,71.331329545756
d,2,f,0,3,29,2.14430322722557,1.24317892816185
m,2,f,0,3,29,106.760090495457,64.645006668077
d,2,f,0,5,29,2.37041523471587,1.56842219181551
m,2,f,0,5,29,98.2097028140929,65.3745404607644
d,2,f,0,7,29,2.24982228285287,1.45611685102475
m,2,f,0,7,29,88.9419735330152,49.7056129538707
d,2,f,5,0,29,2.08300371782069,1.17144959050467
m,2,f,5,0,29,125.781095935663,89.0922532627475
d,2,f,5,1,28,1.75175600724286,0.841677172129093
m,2,f,5,1,28,126.493172221936,81.2243803562342
d,2,f,5,2,29,2.12101966881379,1.73306837172641
m,2,f,5,2,29,96.1871295523054,57.6066500143085
d,2,f,5,3,29,2.36484282383908,1.00652186821631
m,2,f,5,3,29,85.8282170145079,46.70080498731
d,2,f,5,5,29,2.45501112457088,1.08113989454871
m,2,f,5,5,29,81.5697062343692,46.0815165230505
d,2,f,5,7,29,2.54977787299655,1.33030163653225
m,2,f,5,7,29,72.6711369209483,35.027460963876
d,2,f,8,0,29,1.90939322364483,0.981977095641066
m,2,f,8,0,29,111.093651336577,61.1230526844457
d,2,f,8,1,28,2.18849120839286,0.859160909747602
m,2,f,8,1,28,102.165447627337,60.9226088851351
d,2,f,8,2,29,2.68941189197241,2.0047116209898
m,2,f,8,2,29,78.0475854320719,42.1420471874583
d,2,f,8,3,29,2.54562354508966,1.6589821535479
m,2,f,8,3,29,83.8982242383032,43.9209256700379
d,2,f,8,5,29,2.89359648492414,2.29850661956053
m,2,f,8,5,29,75.6589946639094,41.2412985859549
d,2,f,8,7,29,2.55341693748276,1.14989087593022
m,2,f,8,7,29,68.4667839027392,31.2984119424813
d,3,a,0,0,29,2.54375324150207,1.55578906290994
m,3,a,0,0,29,87.9929982779608,48.790534902951
d,3,a,0,1,29,2.96537000236491,1.45615330804467
m,3,a,0,1,29,70.3695239640392,29.7123282694381
d,3,a,0,2,29,3.41462038799365,1.69116289179784
m,3,a,0,2,29,54.0157347360435,22.6462965843351
d,3,a,0,3,29,3.22396971668307,1.83531572363654
m,3,a,0,3,29,66.5281461814301,35.3908532119655
d,3,a,0,5,29,3.14396836816294,1.81117159555335
m,3,a,0,5,29,66.7928623668038,36.7854009549534
d,3,a,0,7,29,3.03529733234943,1.5013331495404
