pat,thick,add,phase,best,rec,d1,min1,max1,d2,min2,max2,d3,min3,max3,d4,min4,max4,comment
02,8,2,8,1,AIDR,1.3063186813,120,522,1.5428571429,86,646,2.9310897436,62,647,1.1984615385,-817,-41,
02,8,3,8,1,AIDR,1.3622727273,124,450,1.5985416667,81,675,2.9814903846,71,680,1.1779166667,-811,-32,
02,8,5,7,1,AIDR,1.3771153846,116,481,1.5205357143,94,638,2.940625,79,658,1.202962963,-810,-25,
02,8,7,6,1,AIDR,1.3615384615,110,497,1.6306318681,94,621,2.878021978,88,635,1.2262464387,-812,-21,
03,0,0,11,1,AIDR,0.4860294118,65,248,1.515,4,374,3.5683333333,6,456,0.733875,-743,58,
03,0,1,11,1,AIDR,0.6142857143,111,197,1.3378472222,83,393,2.5479166667,68,478,0.8986486486,-774,67,
03,0,2,10,1,AIDR,0.8130681818,92,270,1.72,63,331,3.1125,47,408,0.8557712766,-781,65,
03,0,3,10,1,AIDR,1.0983333333,103,245,1.25,77,377,2.77,53,445,0.8646825397,-766,70,
03,0,5,9,1,AIDR,1.1886904762,65,268,1.0884615385,78,367,2.378125,43,374,0.8217857143,-761,63,
03,0,7,8,1,AIDR,1.1022222222,75,303,1.0551948052,71,302,2.4333333333,50,306,0.8578453453,-766,68,
03,5,0,11,1,AIDR,0.6227272727,107,232,1.363125,42,357,1.39375,149,382,1.0481481481,-778,46,
03,5,1,11,1,AIDR,2.1520833333,72,193,1.0571428571,76,380,2.8505050505,78,450,1.0858006912,-776,55,
03,5,2,10,1,AIDR,1.1491071429,73,248,1.2466666667,67,342,3.24375,50,381,1.0623883929,-784,51,
03,5,3,10,1,AIDR,1.3541666667,74,228,1.0958333333,76,376,3.2319444444,45,416,1.0450691244,-771,59,
03,5,5,9,1,AIDR,1.4455357143,74,253,1.0733766234,81,366,3.0333333333,47,389,1.0258333333,-772,54,
03,5,7,8,1,AIDR,1.1861111111,80,290,1.0513888889,77,304,3.115625,52,319,1.03640625,-777,54,
03,8,0,11,1,AIDR,2.41875,77,215,1.510625,48,371,1.665530303,111,374,1.3269476373,-777,49,
03,8,1,11,1,AIDR,1.8833333333,79,180,1.1876893939,74,397,1.125,169,431,1.2982450739,-774,51,
03,8,2,10,1,AIDR,1.3666666667,78,230,1.1775,71,346,1.174375,141,362,1.5394523327,-782,147,
03,8,3,10,1,AIDR,1.5854166667,80,209,1.0931818182,75,385,1.1236111111,163,405,1.2739880952,-772,57,
03,8,5,9,1,AIDR,1.6541666667,78,236,1.0777777778,79,370,3.2720238095,48,387,1.2706896552,-776,53,
03,8,7,8,1,AIDR,1.405952381,84,278,1.0333333333,76,306,3.3975,50,316,1.2834051724,-782,53,
03,0,0,11,1,FBP,0.6470959596,-25,301,3.9491428571,-88,423,2.7669924812,141,625,0.7638594678,-771,94,
03,0,1,11,1,FBP,1.1305555556,55,257,0.3253968254,13,305,5.41212121212122,34,545,0.7396969697,-729,69,e3 copied from Test_FBP_25
03,0,2,10,1,FBP,0.9285185185,54,297,1.5235294118,6,246,6.98630952380953,18,445,0.8168621701,-821,20,e3 copied from Test_FBP_25
03,0,3,10,1,FBP,1.8168067227,85,265,0.5575716846,30,317,2.8250874126,89,398,0.7902439024,-794,7,
03,0,5,9,1,FBP,0.7401785714,82,282,0.4494195046,58,325,3.5226190476,26,383,0.6424096737,-741,22,
03,0,7,8,1,FBP,1.2879807692,97,315,0.5286057692,60,273,4.2571428571,-1,320,0.6651460942,-743,66,
03,5,0,11,1,FBP,1.0495833333,92,263,1.7722916667,-12,349,2.1411111111,146,434,0.9289102564,-775,10,
03,5,1,11,1,FBP,1.5325,111,228,0.6687058824,45,353,3.1215811965812,64,454 ,0.9778708134,-775,2,e3 copied from Test_FBP_20
03,5,2,10,1,FBP,1.0025,86,272,0.890625,39,300,1.72272727272726,182,397,0.961749531,-780,1, e3 from next_10
03,5,3,10,1,FBP,1.2426573427,90,261,0.8885714286,62,394,3.4959595959596,38,423 ,0.9160278746,-755,2,e3 copied from Test_FBP_20
03,5,5,9,1,FBP,1.2767045455,107,285,0.765034965,62,379,1.89166666666667,192,401,0.883126935,-758,-6,e3 from next_10
03,5,7,8,1,FBP,1.14625,98,313,0.8031746032,64,318,1.9875,162,329,0.8654054054,-762,-6,e3 from next_10
03,8,0,11,1,FBP,0.2609375,112,217,2.0830357143,-11,415,2.049197861,102,381,1.2277836134,-771,50,
03,8,1,11,1,FBP,2.290625,125,208,1.0724025974,34,420,1.440922619,159,440,1.2086175115,-771,44,
03,8,2,10,1,FBP,1.1014285714,104,252,0.9708333333,37,363,4.23258928571428,23,376 ,1.1638453501,-777,25,
03,8,3,10,1,FBP,1.24375,110,225,0.8481818182,64,408,3.90138888888889,30,413,1.1257142857,-727,45,e3 copied from Test_FBP_20
03,8,5,9,1,FBP,2.6958333333,82,252,0.7795454545,90,390,1.61875,155,388,1.1361672794,-733,44,e3 from next_10
03,8,7,8,1,FBP,1.2966666667,112,293,0.7708333333,90,325,4.03749999999999,37,317 ,1.1734101382,-766,41,e3 copied from Test_FBP_20
04,0,0,8,1,AIDR,1.8725,61,443,1.53,63,675,1.13819444444445,63,390,1.6286078098,-881,94,e3 copied from Next_10
04,0,1,8,1,AIDR,1.87625,62,347,1.5576470588,62,684,1.021875,95,364,1.6233333333,-869,96,e3 copied from Next_10
04,0,2,7,1,AIDR,2.0166666667,78,437,1.805,78,654,6.33749999999999,84,742 ,1.665,-846,98,e3 copied from Test_FBP_20
04,0,3,7,1,AIDR,2.0375,98,388,1.7066105769,98,675,6.48090909090909,82,762 ,1.7130769231,-872,96,e3 copied from Test_FBP_20
04,0,5,6,1,AIDR,1.8875,107,454,1.7071875,125,678,1.41777777777778,80,306,1.6616071429,-856,89,e3 copied from Next_10
04,0,7,5,1,AIDR,2.0791666667,106,473,1.9569230769,121,583,6.325,83,619 ,1.9263322884,-849,91,e3 copied from Test_FBP_20
04,5,0,8,1,AIDR,2.69,56,439,1.7667420814,80,681,7.33482142857144,84,809 ,1.7337037037,-831,80,e3 copied from Test_FBP_20
04,5,1,8,1,AIDR,2.4452380952,69,348,1.8666666667,69,683,6.60634615384615,74,771 ,1.7922619048,-822,97,e3 copied from Test_FBP_20
04,5,2,7,1,AIDR,2.1791666667,88,447,2.1145833333,88,641,6.3131944444,90,736,1.7964285714,-818,96,
04,5,3,7,1,AIDR,2.1114285714,106,391,1.9329545455,106,652,6.2678977273,89,760,1.7828125,-829,92,
04,5,5,6,1,AIDR,2.2075,115,443,1.8592307692,132,632,6.1045138889,86,721,1.8541818182,-828,92,
04,5,7,5,1,AIDR,2.16,115,463,1.963125,115,534,6.1928571429,86,619,2.0488782051,-836,89,
04,8,0,8,1,AIDR,2.776875,67,432,2.22,67,688,6.85357142857142,90,796 ,1.9887142857,-827,91,e3 copied from Test_FBP_20
04,8,1,8,1,AIDR,2.9416666667,77,343,2.3733333333,77,677,6.4470833333,75,772,1.9294871795,-818,102,
04,8,2,7,1,AIDR,2.6577380952,94,441,2.615625,94,641,6.1225,89,733,1.9304487179,-818,96,
04,8,3,7,1,AIDR,2.5858333333,110,381,2.3847222222,110,647,6.096875,86,759,1.9239057239,-829,93,
04,8,5,6,1,AIDR,2.625,117,435,2.3702777778,117,630,5.8722222222,84,716,1.9531986532,-824,90,
04,8,7,5,1,AIDR,2.5314285714,115,458,2.784375,115,572,5.9571428571,85,615,2.1372307692,-831,89,
04,0,0,8,1,FBP,0.7857142857,56,192,1.8078125,71,721,1.235,14,424,0.9530232558,-930,-54,e3 copied from Next_10
04,0,1,8,1,FBP,1.2866666667,67,395,1.65525,111,728,1.45769230769231,69,402,1.2868961353,-875,111,e3 copied from Next_10
04,0,2,7,1,FBP,1.9535714286,72,466,1.6595220588,87,648,5.83750000000001,49,709 ,1.5383468835,-877,122,e3 copied from Test_FBP_20
04,0,3,7,1,FBP,1.941875,92,409,1.598374613,118,708,1.565625,62,309,1.3785714286,-868,96,e3 copied from Next_10
04,0,5,6,1,FBP,2.2466269841,153,504,1.4402113971,113,654,1.72666666666666,68,328,1.346122449,-870,96,e3 copied from Next_10
04,0,7,5,1,FBP,2.3409090909,128,525,1.6660833333,108,567,1.44666666666667,74,286,1.8422159091,-872,107,e3 copied from Next_10
04,5,0,8,1,FBP,2.7364583333,51,477,1.6689814815,39,701,,,,1.6136135057,-833,88,
04,5,1,8,1,FBP,2.8988636364,36,386,1.6260526316,107,727,1.08138888888889,93,414,1.6958333333,-824,107,e3 copied from Next_10
04,5,2,7,1,FBP,2.25,77,481,1.7125,113,633,6.58701923076922,87,757 ,1.694450431,-823,100,e3 copied from Test_FBP_20
04,5,3,7,1,FBP,1.7683333333,114,424,1.9034722222,121,687,6.49062500000001,82,779 ,1.6669642857,-834,89,e3 copied from Test_FBP_20
04,5,5,6,1,FBP,1.7925,140,475,1.8,120,660,6.14423076923077,80,724 ,1.8033251232,-831,99,e3 copied from Test_FBP_20
04,5,7,5,1,FBP,2.0257142857,112,493,1.8202380952,117,558,6.0171428571,79,591,2.0360501567,-841,92,
04,8,0,8,1,FBP,2.7652472527,51,470,1.8198412698,71,695,1.41969696969696,73,444,1.9505952381,-828,107,e3 copied from Next_10
04,8,1,8,1,FBP,3.2085227273,55,382,2.1003030303,120,715,6.42962184873949,94,784 ,1.8484482759,-820,114,e3 copied from Test_FBP_20
04,8,2,7,1,FBP,2.8363888889,88,467,2.245,118,641,6.23039772727272,87,746 ,1.8264367816,-824,100,e3 copied from Test_FBP_20
04,8,3,7,1,FBP,2.7758333333,119,406,2.2888111888,137,682,6.17017045454546,81,768 ,1.8079166667,-834,93,e3 copied from Test_FBP_20
04,8,5,6,1,FBP,2.6375,137,467,2.2359848485,142,660,5.65,82,685,1.8483333333,-825,93,
04,8,7,5,1,FBP,2.705,112,486,2.2303030303,135,556,5.9410714286,81,617,2.1203703704,-834,91,
