Length,HU
0.1,473
0.2,476
0.3,479
0.4,482
0.5,485
0.6,488
0.7,492
0.8,493
0.9,493
1,493
1.1,492
1.2,492
1.3,491
1.4,490
1.5,492
1.6,493
1.7,495
1.8,496
1.9,498
2,499
2.1,501
2.2,500
2.3,498
2.4,495
2.5,491
2.6,485
2.7,480
2.8,476
2.9,474
3,474
3.1,475
3.2,477
3.3,479
3.4,482
3.5,481
3.6,479
3.7,479
3.8,478
3.9,478
4,476
4.1,472
4.2,466
4.3,460
4.4,451
4.5,443
4.6,435
4.7,427
4.8,421
4.9,419
5,417
5.1,415
5.2,413
5.3,413
5.4,414
5.5,416
5.6,418
5.7,420
5.8,424
5.9,429
6,433
6.1,438
6.2,444
6.3,449
6.4,455
6.5,460
6.6,464
6.7,467
6.8,469
6.9,469
7,468
7.1,464
7.2,460
7.3,456
7.4,452
7.5,447
7.6,441
7.7,436
7.8,432
7.9,429
8,428
8.1,427
8.2,427
8.3,427
8.4,428
8.5,429
8.6,430
8.7,430
8.8,430
8.9,433
9,436
9.1,439
9.2,442
9.3,445
9.4,446
9.5,444
9.6,440
9.7,435
9.8,430
9.9,424
10,419
10.1,413
10.2,408
10.3,403
10.4,397
10.5,391
10.6,385
10.7,377
10.8,371
10.9,365
11,361
11.1,355
11.2,346
11.3,338
11.4,328
11.5,318
11.6,304
11.7,291
11.8,279
11.9,268
12,257
12.1,244
12.2,230
12.3,215
12.4,200
12.5,183
12.6,167
12.7,151
12.8,136
12.9,125
13,117
13.1,110
13.2,103
13.3,97
13.4,91
13.5,85
13.6,82
13.7,79
13.8,79
13.9,85
14,91
14.1,98
14.2,104
14.3,112
14.4,118
14.5,123
14.6,127
14.7,129
14.8,129
14.9,127
15,125
15.1,122
15.2,120
15.3,119
15.4,118
15.5,119
15.6,119
15.7,118
15.8,117
15.9,116
16,115
16.1,110
16.2,104
16.3,100
16.4,97
16.5,95
16.6,96
16.7,97
16.8,98
16.9,101
17,103
17.1,103
17.2,102
17.3,99
17.4,96
17.5,94
17.6,91
17.7,90
17.8,88
17.9,90
18,92
18.1,94
18.2,94
18.3,95
18.4,95
18.5,95
18.6,94
18.7,94
18.8,94
18.9,95
19,98
19.1,100
19.2,102
19.3,103
19.4,104
19.5,105
19.6,104
19.7,103
19.8,102
19.9,101
20,100
20.1,99
20.2,101
20.3,104
20.4,105
20.5,106
20.6,105
20.7,104
20.8,101
20.9,97
21,93
21.1,92
21.2,92
21.3,94
21.4,98
21.5,101
21.6,104
21.7,108
21.8,112
21.9,116
22,114
22.1,112
22.2,111
22.3,112
22.4,111
22.5,110
22.6,110
22.7,110
22.8,110
22.9,110
23,106
23.1,102
23.2,98
23.3,93
23.4,88
23.5,82
23.6,77
23.7,73
23.8,72
23.9,71
24,71
24.1,70
24.2,73
24.3,81
24.4,88
24.5,96
24.6,104
24.7,114
24.8,124
24.9,133
25,137
25.1,138
25.2,138
25.3,138
25.4,138
25.5,139
25.6,143
25.7,150
25.8,158
25.9,166
26,176
26.1,185
26.2,195
26.3,205
26.4,217
26.5,229
26.6,240
26.7,252
26.8,263
26.9,271
27,277
27.1,284
27.2,291
27.3,298
27.4,305
27.5,310
27.6,314
27.7,317
27.8,320
27.9,322
28,325
28.1,328
28.2,331
28.3,334
28.4,336
28.5,338
28.6,340
28.7,340
28.8,338
28.9,335
29,331
29.1,325
29.2,317
29.3,308
29.4,298
29.5,288
29.6,280
29.7,275
29.8,270
29.9,266
30,263
30.1,264
30.2,266
30.3,269
30.4,273
30.5,276
30.6,279
30.7,281
30.8,282
30.9,283
31,284
31.1,286
31.2,288
31.3,290
31.4,292
31.5,293
31.6,295
31.7,296
31.8,297
31.9,298
32,300
32.1,303
32.2,305
32.3,307
32.4,309
32.5,310
32.6,311
32.7,311
32.8,307
32.9,301
33,295
33.1,287
33.2,281
33.3,275
33.4,269
33.5,262
33.6,256
33.7,261
33.8,265
33.9,270
34,274
34.1,280
34.2,285
34.3,291
34.4,296
34.5,301
34.6,305
34.7,310
34.8,317
34.9,325
35,330
35.1,334
35.2,337
35.3,341
35.4,343
35.5,344
35.6,344
35.7,343
35.8,342
35.9,338
36,332
36.1,325
36.2,318
36.3,310
36.4,301
36.5,293
36.6,286
36.7,279
36.8,274
36.9,270
37,269
37.1,269
37.2,269
37.3,271
37.4,272
37.5,274
37.6,275
37.7,280
37.8,286
37.9,291
38,296
38.1,299
38.2,300
38.3,300
38.4,299
38.5,298
38.6,293
38.7,287
38.8,283
38.9,281
39,280
39.1,281
39.2,282
39.3,284
39.4,286
39.5,287
39.6,285
39.7,281
39.8,276
39.9,270
40,270
40.1,268
40.2,266
40.3,264
40.4,266
40.5,269
40.6,271
40.7,272
40.8,273
40.9,272
41,270
41.1,270
41.2,268
41.3,268
41.4,269
41.5,271
41.6,274
41.7,278
41.8,281
41.9,283
42,284
42.1,284
42.2,284
42.3,285
42.4,287
42.5,288
42.6,289
42.7,292
42.8,294
42.9,296
43,297
43.1,297
43.2,297
43.3,295
43.4,292
43.5,288
43.6,286
43.7,285
43.8,285
43.9,285
44,283
44.1,280
44.2,278
44.3,276
44.4,275
44.5,272
44.6,269
44.7,266
44.8,263
44.9,262
45,262
45.1,264
45.2,265
45.3,267
45.4,272
45.5,277
45.6,283
45.7,289
45.8,294
45.9,298
46,301
46.1,303
46.2,305
46.3,302
46.4,298
46.5,295
46.6,292
46.7,291
46.8,291
46.9,292
47,293
47.1,295
47.2,299
47.3,303
47.4,305
47.5,307
47.6,309
47.7,312
47.8,314
47.9,317
48,320
48.1,320
48.2,320
48.3,321
48.4,321
48.5,316
48.6,309
48.7,303
48.8,297
48.9,292
49,290
49.1,286
49.2,282
49.3,279
49.4,277
49.5,276
49.6,276
49.7,275
49.8,277
49.9,279
50,281
50.1,284
50.2,287
50.3,287
50.4,286
50.5,285
50.6,285
50.7,286
50.8,286
50.9,286
51,284
51.1,283
51.2,282
51.3,281
51.4,279
51.5,276
51.6,273
51.7,270
51.8,268
51.9,267
52,266
52.1,267
52.2,270
52.3,273
52.4,277
52.5,283
52.6,287
52.7,290
52.8,292
52.9,292
53,291
53.1,286
53.2,281
53.3,275
53.4,269
53.5,266
53.6,261
53.7,255
53.8,250
53.9,247
54,245
54.1,242
54.2,239
54.3,236
54.4,235
54.5,235
54.6,234
54.7,232
54.8,232
54.9,236
55,240
55.1,245
55.2,250
55.3,253
55.4,256
55.5,260
55.6,264
55.7,266
55.8,265
55.9,265
56,265
56.1,265
56.2,263
56.3,262
56.4,261
56.5,259
56.6,255
56.7,248
56.8,242
56.9,235
57,229
57.1,225
57.2,222
57.3,219
57.4,216
57.5,217
57.6,220
57.7,223
57.8,225
57.9,227
58,230
58.1,232
58.2,234
58.3,236
58.4,236
58.5,235
58.6,234
58.7,234
58.8,235
58.9,236
59,240
59.1,246
59.2,252
59.3,256
59.4,257
59.5,258
59.6,258
59.7,257
59.8,249
59.9,239
60,228
60.1,217
60.2,206
60.3,196
60.4,186
60.5,177
60.6,168
60.7,159
60.8,151
60.9,143
61,136
61.1,131
61.2,131
61.3,131
61.4,130
61.5,128
61.6,126
61.7,124
61.8,122
61.9,121
62,120
62.1,120
62.2,119
62.3,118
62.4,117
62.5,118
62.6,119
62.7,120
62.8,121
62.9,121
63,120
63.1,119
63.2,119
63.3,119
63.4,118
63.5,118
63.6,118
63.7,119
63.8,121
63.9,126
64,131
64.1,135
64.2,140
64.3,145
64.4,149
64.5,151
64.6,151
64.7,150
64.8,150
64.9,150
65,149
65.1,147
65.2,143
65.3,140
65.4,136
65.5,133
65.6,129
65.7,124
65.8,121
65.9,120
66,118
66.1,114
66.2,110
66.3,106
66.4,103
66.5,99
66.6,93
66.7,88
66.8,83
66.9,79
67,77
67.1,75
67.2,71
67.3,67
67.4,64
67.5,63
67.6,63
67.7,62
67.8,60
67.9,64
68,67
68.1,70
68.2,73
68.3,75
68.4,77
68.5,78
68.6,78
68.7,76
68.8,75
68.9,74
69,72
69.1,71
69.2,70
69.3,70
69.4,70
69.5,70
69.6,69
69.7,68
69.8,65
69.9,63
70,61
70.1,60
70.2,60
70.3,61
70.4,62
70.5,62
70.6,62
70.7,62
70.8,61
70.9,60
71,58
71.1,55
71.2,54
71.3,53
71.4,52
71.5,49
71.6,45
71.7,41
71.8,38
71.9,34
72,31
72.1,29
72.2,28
72.3,27
72.4,29
72.5,31
72.6,32
72.7,33
72.8,35
72.9,37
73,39
73.1,41
73.2,42
73.3,40
73.4,38
73.5,34
73.6,30
73.7,24
73.8,16
73.9,6
74,-5
74.1,-17
74.2,-35
74.3,-56
74.4,-76
74.5,-98
74.6,-117
74.7,-131
74.8,-145
74.9,-157
75,-167
75.1,-175
75.2,-182
75.3,-192
75.4,-202
75.5,-211
75.6,-220
75.7,-231
75.8,-242
75.9,-256
76,-273
76.1,-292
76.2,-315
76.3,-340
76.4,-368
76.5,-398
76.6,-429
76.7,-463
76.8,-500
76.9,-534
77,-567
77.1,-599
77.2,-629
77.3,-655
77.4,-676
77.5,-694
77.6,-711
77.7,-726
77.8,-736
77.9,-741
78,-744
78.1,-746
78.2,-749
78.3,-752
78.4,-754
78.5,-756
78.6,-757
78.7,-758
78.8,-760
78.9,-762
79,-764
79.1,-766
79.2,-768
79.3,-769
79.4,-770
79.5,-772
79.6,-774
79.7,-777
79.8,-779
79.9,-780
80,-779
80.1,-776
80.2,-773
80.3,-770
80.4,-767
80.5,-763
80.6,-758
80.7,-754
80.8,-751
80.9,-749
81,-750
81.1,-752
81.2,-754
81.3,-759
81.4,-767
81.5,-776
81.6,-784
81.7,-793
81.8,-801
81.9,-806
82,-811
82.1,-816
82.2,-821
82.3,-825
82.4,-828
82.5,-831
82.6,-834
82.7,-838
82.8,-841
82.9,-844
83,-847
83.1,-849
83.2,-851
83.3,-851
83.4,-851
83.5,-850
83.6,-849
83.7,-847
83.8,-844
83.9,-841
84,-838
84.1,-837
84.2,-837
84.3,-836
84.4,-836
84.5,-836
84.6,-833
84.7,-830
84.8,-827
84.9,-824
85,-821
85.1,-818
85.2,-817
85.3,-815
85.4,-814
85.5,-813
85.6,-813
85.7,-813
85.8,-813
85.9,-812
86,-812
86.1,-812
86.2,-812
86.3,-812
86.4,-812
86.5,-812
86.6,-813
86.7,-814
86.8,-815
86.9,-815
87,-814
87.1,-814
87.2,-812
87.3,-809
87.4,-804
87.5,-799
87.6,-794
87.7,-790
87.8,-787
87.9,-784
88,-783
88.1,-782
88.2,-783
88.3,-783
88.4,-785
88.5,-786
88.6,-788
88.7,-788
88.8,-789
88.9,-789
89,-789
89.1,-788
89.2,-788
89.3,-789
89.4,-789
89.5,-791
89.6,-795
89.7,-800
89.8,-806
89.9,-813
90,-818
90.1,-822
90.2,-826
90.3,-830
90.4,-830
90.5,-829
90.6,-827
90.7,-825
90.8,-822
90.9,-819
91,-817
91.1,-815
91.2,-815
91.3,-815
91.4,-814
91.5,-814
91.6,-815
91.7,-817
91.8,-816
91.9,-816
