Length,HU
0.1,153
0.2,157
0.3,163
0.4,171
0.5,175
0.6,178
0.7,181
0.8,183
0.9,184
1,184
1.1,184
1.2,183
1.3,182
1.4,179
1.5,177
1.6,175
1.7,174
1.8,175
1.9,175
2,177
2.1,177
2.2,174
2.3,171
2.4,168
2.5,165
2.6,163
2.7,157
2.8,151
2.9,147
3,144
3.1,142
3.2,140
3.3,139
3.4,138
3.5,139
3.6,145
3.7,153
3.8,159
3.9,162
4,161
4.1,159
4.2,155
4.3,151
4.4,150
4.5,155
4.6,161
4.7,167
4.8,173
4.9,180
5,187
5.1,195
5.2,200
5.3,204
5.4,207
5.5,210
5.6,213
5.7,216
5.8,223
5.9,232
6,237
6.1,242
6.2,245
6.3,247
6.4,249
6.5,250
6.6,246
6.7,234
6.8,218
6.9,203
7,189
7.1,178
7.2,170
7.3,163
7.4,158
7.5,159
7.6,164
7.7,169
7.8,174
7.9,180
8,186
8.1,191
8.2,196
8.3,199
8.4,196
8.5,192
8.6,187
8.7,182
8.8,177
8.9,173
9,168
9.1,162
9.2,157
9.3,153
9.4,148
9.5,142
9.6,136
9.7,133
9.8,131
9.9,133
10,136
10.1,141
10.2,149
10.3,156
10.4,160
10.5,159
10.6,160
10.7,162
10.8,163
10.9,164
11,164
11.1,164
11.2,162
11.3,160
11.4,159
11.5,156
11.6,154
11.7,154
11.8,153
11.9,145
12,135
12.1,126
12.2,116
12.3,111
12.4,110
12.5,112
12.6,116
12.7,122
12.8,130
12.9,136
13,143
13.1,152
13.2,157
13.3,159
13.4,161
13.5,166
13.6,173
13.7,180
13.8,185
13.9,187
14,186
14.1,184
14.2,179
14.3,172
14.4,163
14.5,156
14.6,154
14.7,153
14.8,151
14.9,150
15,150
15.1,150
15.2,151
15.3,149
15.4,148
15.5,148
15.6,149
15.7,150
15.8,153
15.9,158
16,163
16.1,166
16.2,168
16.3,166
16.4,163
16.5,160
16.6,158
16.7,156
16.8,156
16.9,158
17,162
17.1,168
17.2,179
17.3,193
17.4,208
17.5,224
17.6,234
17.7,240
17.8,245
17.9,250
18,254
18.1,258
18.2,260
18.3,262
18.4,258
18.5,246
18.6,231
18.7,215
18.8,194
18.9,178
19,166
19.1,158
19.2,151
19.3,148
19.4,153
19.5,160
19.6,166
19.7,172
19.8,183
19.9,194
20,204
20.1,213
20.2,220
20.3,218
20.4,216
20.5,213
20.6,208
20.7,196
20.8,185
20.9,175
21,167
21.1,159
21.2,152
21.3,148
21.4,145
21.5,145
21.6,141
21.7,136
21.8,131
21.9,123
22,124
22.1,126
22.2,129
22.3,133
22.4,139
22.5,144
22.6,147
22.7,151
22.8,155
22.9,147
23,139
23.1,130
23.2,122
23.3,106
23.4,88
23.5,73
23.6,60
23.7,50
23.8,52
23.9,53
24,55
24.1,58
24.2,62
24.3,67
24.4,72
24.5,79
24.6,82
24.7,86
24.8,88
24.9,90
25,91
25.1,93
25.2,96
25.3,96
25.4,95
25.5,95
25.6,96
25.7,99
25.8,103
25.9,107
26,108
26.1,107
26.2,104
26.3,99
26.4,91
26.5,83
26.6,78
26.7,74
26.8,72
26.9,71
27,70
27.1,69
27.2,69
27.3,67
27.4,64
27.5,61
27.6,62
27.7,85
27.8,111
27.9,136
28,160
28.1,184
28.2,207
28.3,228
28.4,246
28.5,258
28.6,264
28.7,271
