Length,HU
0.1,622
0.2,621
0.3,619
0.4,618
0.5,617
0.6,617
0.7,616
0.8,614
0.9,614
1,614
1.1,615
1.2,616
1.3,616
1.4,616
1.5,618
1.6,620
1.7,622
1.8,623
1.9,624
2,626
2.1,628
2.2,630
2.3,631
2.4,632
2.5,633
2.6,635
2.7,637
2.8,638
2.9,639
3,640
3.1,642
3.2,644
3.3,647
3.4,649
3.5,651
3.6,654
3.7,656
3.8,659
3.9,662
4,665
4.1,668
4.2,670
4.3,673
4.4,675
4.5,677
4.6,679
4.7,682
4.8,684
4.9,687
5,689
5.1,692
5.2,694
5.3,697
5.4,698
5.5,700
5.6,702
5.7,704
5.8,705
5.9,707
6,710
6.1,712
6.2,713
6.3,714
6.4,716
6.5,717
6.6,719
6.7,719
6.8,719
6.9,719
7,718
7.1,717
7.2,715
7.3,712
7.4,708
7.5,705
7.6,700
7.7,696
7.8,690
7.9,683
8,676
8.1,669
8.2,661
8.3,652
8.4,642
8.5,632
8.6,622
8.7,611
8.8,598
8.9,585
9,570
9.1,556
9.2,540
9.3,524
9.4,506
9.5,488
9.6,470
9.7,451
9.8,431
9.9,411
10,391
10.1,370
10.2,350
10.3,330
10.4,311
10.5,293
10.6,275
10.7,256
10.8,239
10.9,223
11,209
11.1,195
11.2,182
11.3,169
11.4,158
11.5,148
11.6,138
11.7,128
11.8,118
11.9,110
12,103
12.1,96
12.2,89
12.3,83
12.4,77
12.5,73
12.6,69
12.7,64
12.8,61
12.9,57
13,55
13.1,52
13.2,50
13.3,48
13.4,46
13.5,44
13.6,43
13.7,41
13.8,40
13.9,39
14,38
14.1,37
14.2,36
14.3,35
14.4,34
14.5,34
14.6,33
14.7,33
14.8,33
14.9,33
15,33
15.1,33
15.2,33
15.3,33
15.4,33
15.5,33
15.6,33
15.7,33
15.8,34
15.9,34
16,34
16.1,34
16.2,33
16.3,33
16.4,33
16.5,34
16.6,34
16.7,34
16.8,34
16.9,35
17,35
17.1,36
17.2,36
17.3,37
17.4,37
17.5,38
17.6,38
17.7,37
17.8,36
17.9,35
18,34
18.1,33
18.2,32
18.3,31
18.4,31
18.5,30
18.6,30
18.7,30
18.8,30
18.9,30
19,31
19.1,31
19.2,32
19.3,32
