Length,HU
0.1,81
0.2,65
0.3,45
0.4,24
0.5,5
0.6,-12
0.7,-24
0.8,-34
0.9,-24
1,-7
1.1,13
1.2,34
1.3,50
1.4,60
1.5,63
1.6,61
1.7,54
1.8,44
1.9,33
2,24
2.1,18
2.2,21
2.3,27
2.4,43
2.5,65
2.6,85
2.7,103
2.8,116
2.9,127
3,135
3.1,145
3.2,154
3.3,157
3.4,155
3.5,141
3.6,121
3.7,101
3.8,84
3.9,65
4,60
4.1,58
4.2,66
4.3,78
4.4,91
4.5,98
4.6,107
4.7,120
4.8,129
4.9,137
5,143
5.1,145
5.2,144
5.3,144
5.4,145
5.5,146
5.6,147
5.7,145
5.8,140
5.9,135
6,128
6.1,121
6.2,113
6.3,98
6.4,80
6.5,63
6.6,54
6.7,47
6.8,49
6.9,54
7,63
7.1,70
7.2,74
7.3,69
7.4,61
7.5,59
7.6,55
7.7,50
7.8,48
7.9,44
8,39
8.1,40
8.2,41
8.3,47
8.4,51
8.5,49
8.6,43
8.7,32
8.8,17
8.9,7
9,-1
9.1,5
9.2,10
9.3,23
9.4,48
9.5,72
9.6,87
9.7,95
9.8,97
9.9,89
10,80
10.1,70
10.2,61
10.3,52
10.4,54
10.5,55
10.6,61
10.7,68
10.8,73
10.9,83
11,90
11.1,98
11.2,109
11.3,122
11.4,130
11.5,140
11.6,150
11.7,164
11.8,180
11.9,187
12,192
12.1,197
12.2,189
12.3,177
12.4,163
12.5,148
12.6,135
12.7,132
12.8,131
12.9,138
13,150
13.1,161
13.2,169
13.3,173
13.4,172
13.5,165
13.6,151
13.7,138
13.8,128
13.9,123
14,123
14.1,127
14.2,132
14.3,134
14.4,132
14.5,121
14.6,108
14.7,97
14.8,91
14.9,91
15,98
15.1,109
15.2,119
15.3,128
15.4,138
15.5,145
15.6,152
15.7,157
15.8,160
15.9,158
16,155
16.1,149
16.2,139
16.3,131
16.4,126
16.5,123
16.6,123
16.7,124
16.8,122
16.9,125
17,124
17.1,118
17.2,112
17.3,111
17.4,109
17.5,116
17.6,129
17.7,142
17.8,156
17.9,170
18,179
18.1,183
18.2,183
18.3,172
18.4,159
18.5,147
18.6,135
18.7,124
18.8,113
18.9,100
19,85
19.1,69
19.2,55
19.3,48
19.4,47
19.5,48
19.6,67
19.7,97
19.8,121
19.9,140
20,154
20.1,153
20.2,149
20.3,137
20.4,112
20.5,84
20.6,54
20.7,26
20.8,9
20.9,10
21,14
21.1,38
21.2,65
21.3,90
21.4,111
21.5,123
21.6,132
21.7,140
21.8,147
21.9,151
22,152
22.1,150
22.2,141
22.3,126
22.4,108
22.5,84
22.6,63
22.7,52
22.8,42
22.9,43
23,52
23.1,64
23.2,82
23.3,108
23.4,133
23.5,152
23.6,172
23.7,180
23.8,187
23.9,174
24,152
24.1,128
24.2,109
24.3,90
24.4,80
24.5,77
24.6,74
24.7,81
24.8,79
24.9,72
25,66
25.1,56
25.2,52
25.3,50
25.4,56
25.5,72
25.6,96
25.7,116
25.8,124
25.9,129
26,122
26.1,114
26.2,100
26.3,82
26.4,65
26.5,61
26.6,59
26.7,67
26.8,84
26.9,99
27,113
27.1,122
27.2,122
27.3,113
27.4,107
27.5,97
27.6,100
27.7,113
27.8,127
27.9,144
28,147
28.1,138
28.2,126
28.3,98
28.4,68
28.5,45
28.6,25
28.7,7
28.8,10
28.9,14
29,23
29.1,37
29.2,47
29.3,48
29.4,45
29.5,39
29.6,29
29.7,15
29.8,9
29.9,7
30,9
30.1,9
30.2,6
30.3,0
30.4,-8
30.5,-13
30.6,-14
30.7,-16
30.8,-18
30.9,-18
31,-18
31.1,-4
31.2,16
31.3,43
31.4,79
31.5,113
31.6,144
31.7,166
31.8,172
31.9,164
32,150
32.1,119
32.2,82
32.3,39
32.4,3
32.5,-30
32.6,-54
32.7,-63
32.8,-63
32.9,-52
33,-39
33.1,-21
33.2,-4
33.3,9
33.4,14
33.5,16
33.6,4
33.7,-30
33.8,-68
33.9,-110
34,-143
34.1,-162
34.2,-165
34.3,-167
34.4,-164
34.5,-155
34.6,-144
34.7,-125
34.8,-104
34.9,-84
35,-64
35.1,-47
35.2,-33
35.3,-24
35.4,-27
