Length,HU
0.1,473
0.2,476
0.3,476
0.4,477
0.5,478
0.6,480
0.7,479
0.8,476
0.9,472
1,468
1.1,463
1.2,459
1.3,457
1.4,456
1.5,456
1.6,458
1.7,457
1.8,455
1.9,452
2,447
2.1,440
2.2,433
2.3,427
2.4,422
2.5,418
2.6,423
2.7,429
2.8,435
2.9,442
3,447
3.1,447
3.2,446
3.3,443
3.4,440
3.5,436
3.6,432
3.7,428
3.8,424
3.9,422
4,425
4.1,427
4.2,429
4.3,430
4.4,430
4.5,428
4.6,426
4.7,424
4.8,423
4.9,425
5,428
5.1,432
5.2,438
5.3,445
5.4,451
5.5,457
5.6,463
5.7,469
5.8,475
5.9,478
6,481
6.1,484
6.2,486
6.3,492
6.4,498
6.5,503
6.6,505
6.7,506
6.8,504
6.9,502
7,500
7.1,497
7.2,496
7.3,496
7.4,495
7.5,494
7.6,493
7.7,490
7.8,487
7.9,487
8,488
8.1,490
8.2,494
8.3,498
8.4,501
8.5,503
8.6,502
8.7,499
8.8,495
8.9,489
9,482
9.1,477
9.2,472
9.3,469
9.4,464
9.5,461
9.6,459
9.7,456
9.8,454
9.9,453
10,449
10.1,446
10.2,443
10.3,439
10.4,435
10.5,430
10.6,425
10.7,419
10.8,414
10.9,409
11,405
11.1,400
11.2,393
11.3,384
11.4,376
11.5,368
11.6,361
11.7,356
11.8,351
11.9,343
12,335
12.1,328
12.2,321
12.3,313
12.4,304
12.5,295
12.6,285
12.7,275
12.8,265
12.9,255
13,245
13.1,236
13.2,227
13.3,220
13.4,213
13.5,207
13.6,203
13.7,195
13.8,188
13.9,179
14,171
14.1,164
14.2,160
14.3,157
14.4,155
14.5,153
14.6,147
14.7,142
14.8,138
14.9,134
15,132
15.1,121
15.2,109
15.3,97
15.4,86
15.5,76
15.6,66
15.7,58
15.8,52
15.9,50
16,50
16.1,52
16.2,54
16.3,55
16.4,57
16.5,57
16.6,56
16.7,54
16.8,53
16.9,51
17,52
17.1,53
17.2,54
17.3,55
17.4,56
17.5,58
17.6,60
17.7,63
17.8,66
17.9,68
18,70
18.1,72
18.2,76
18.3,78
18.4,78
18.5,78
18.6,75
18.7,73
18.8,67
18.9,60
19,54
19.1,48
19.2,44
19.3,41
19.4,38
19.5,36
19.6,33
19.7,33
19.8,35
19.9,37
20,39
20.1,40
20.2,40
20.3,40
20.4,39
20.5,38
20.6,37
20.7,36
20.8,37
20.9,38
21,41
21.1,47
21.2,55
21.3,63
21.4,71
21.5,80
21.6,88
21.7,96
21.8,105
21.9,114
22,121
22.1,126
22.2,130
22.3,135
22.4,138
22.5,142
22.6,146
22.7,150
22.8,156
22.9,163
23,172
23.1,181
23.2,190
23.3,198
23.4,201
23.5,201
23.6,202
23.7,202
23.8,202
23.9,209
24,217
24.1,225
24.2,235
24.3,247
24.4,260
24.5,272
24.6,282
24.7,290
24.8,293
24.9,296
25,298
25.1,300
25.2,302
25.3,306
25.4,311
25.5,316
25.6,322
25.7,326
25.8,329
25.9,331
26,333
26.1,335
26.2,336
26.3,338
26.4,340
26.5,344
26.6,349
26.7,357
26.8,364
26.9,371
27,377
27.1,384
27.2,388
27.3,391
27.4,394
27.5,396
27.6,399
27.7,401
27.8,402
27.9,404
28,407
28.1,411
28.2,416
28.3,422
28.4,429
28.5,437
28.6,445
28.7,452
28.8,459
28.9,464
29,465
29.1,466
29.2,462
29.3,458
29.4,452
29.5,445
29.6,437
29.7,428
29.8,420
29.9,413
30,407
30.1,400
30.2,394
30.3,389
30.4,388
30.5,388
30.6,390
30.7,392
30.8,396
30.9,402
31,408
31.1,414
31.2,420
31.3,425
31.4,429
31.5,432
31.6,434
31.7,434
31.8,430
31.9,424
32,418
32.1,413
32.2,406
32.3,399
32.4,392
32.5,389
32.6,388
32.7,392
32.8,395
32.9,399
33,404
33.1,409
33.2,416
33.3,421
33.4,426
33.5,429
33.6,430
33.7,429
33.8,428
33.9,425
34,422
34.1,423
34.2,424
34.3,425
34.4,425
34.5,425
34.6,423
34.7,418
34.8,412
34.9,404
35,395
35.1,385
35.2,377
35.3,370
35.4,365
35.5,366
35.6,368
35.7,371
35.8,376
35.9,385
36,396
36.1,408
36.2,420
36.3,433
36.4,445
36.5,453
36.6,460
36.7,468
36.8,471
36.9,467
37,464
37.1,460
37.2,456
37.3,451
37.4,447
37.5,444
37.6,442
37.7,441
37.8,444
37.9,449
38,455
38.1,461
38.2,466
38.3,469
38.4,472
38.5,471
38.6,468
38.7,461
38.8,455
38.9,447
39,440
39.1,433
39.2,428
39.3,424
39.4,421
39.5,418
39.6,418
39.7,418
39.8,418
39.9,418
40,418
40.1,416
40.2,415
40.3,414
40.4,413
40.5,412
40.6,412
40.7,414
40.8,417
40.9,422
41,426
41.1,430
41.2,435
41.3,439
41.4,443
41.5,443
41.6,444
41.7,443
41.8,441
41.9,437
42,432
42.1,427
42.2,422
42.3,417
42.4,414
42.5,412
42.6,413
42.7,415
42.8,418
42.9,425
43,432
43.1,440
43.2,450
43.3,457
43.4,460
43.5,462
43.6,464
43.7,464
43.8,459
43.9,454
44,450
44.1,446
44.2,444
44.3,440
44.4,438
44.5,436
44.6,435
44.7,434
44.8,431
44.9,428
45,424
45.1,420
45.2,420
45.3,421
45.4,421
45.5,422
45.6,425
45.7,428
45.8,432
45.9,434
46,436
46.1,437
46.2,438
46.3,438
46.4,439
46.5,438
46.6,439
46.7,440
46.8,442
46.9,444
47,447
47.1,452
47.2,458
47.3,464
47.4,470
47.5,472
47.6,473
47.7,473
47.8,471
47.9,467
48,462
48.1,457
48.2,452
48.3,446
48.4,441
48.5,439
48.6,438
48.7,437
48.8,436
48.9,439
49,442
49.1,446
49.2,451
49.3,455
49.4,460
49.5,465
49.6,470
49.7,476
49.8,479
49.9,480
50,482
50.1,483
50.2,483
50.3,480
50.4,477
50.5,471
50.6,464
50.7,454
50.8,441
50.9,431
51,423
51.1,418
51.2,413
51.3,410
51.4,408
51.5,406
51.6,406
51.7,407
51.8,409
51.9,413
52,417
52.1,425
52.2,434
52.3,443
52.4,453
52.5,460
52.6,463
52.7,464
52.8,466
52.9,466
53,465
53.1,461
53.2,459
53.3,457
53.4,458
53.5,455
53.6,451
53.7,446
53.8,438
53.9,429
54,419
54.1,410
54.2,401
54.3,392
54.4,387
54.5,390
54.6,393
54.7,396
54.8,400
54.9,405
55,410
55.1,415
55.2,417
55.3,418
55.4,415
55.5,412
55.6,408
55.7,405
55.8,400
55.9,396
56,392
56.1,389
56.2,386
56.3,387
56.4,390
56.5,396
56.6,403
56.7,410
56.8,414
56.9,417
57,419
57.1,418
57.2,412
57.3,406
57.4,399
57.5,393
57.6,387
57.7,385
57.8,385
57.9,387
58,389
58.1,393
58.2,396
58.3,399
58.4,402
58.5,403
58.6,410
58.7,417
58.8,423
58.9,429
59,435
59.1,439
59.2,443
59.3,446
59.4,448
59.5,448
59.6,445
59.7,443
59.8,441
59.9,438
60,435
60.1,432
60.2,428
60.3,424
60.4,423
60.5,426
60.6,429
60.7,433
60.8,437
60.9,437
61,435
61.1,433
61.2,430
61.3,428
61.4,427
61.5,427
61.6,428
61.7,430
61.8,433
61.9,437
62,439
62.1,442
62.2,444
62.3,442
62.4,441
62.5,440
62.6,440
62.7,440
62.8,438
62.9,436
63,434
63.1,432
63.2,427
63.3,421
63.4,415
63.5,409
63.6,403
63.7,400
63.8,399
63.9,397
64,396
64.1,395
64.2,394
64.3,392
64.4,390
64.5,388
64.6,385
64.7,384
64.8,383
64.9,382
65,382
65.1,386
65.2,389
65.3,392
65.4,395
65.5,398
65.6,400
65.7,403
65.8,404
65.9,404
66,403
66.1,402
66.2,400
66.3,397
66.4,395
66.5,394
66.6,394
66.7,393
66.8,392
66.9,392
67,394
67.1,396
67.2,397
67.3,399
67.4,399
67.5,399
67.6,400
67.7,401
67.8,398
67.9,394
68,390
68.1,387
68.2,385
68.3,383
68.4,380
68.5,378
68.6,377
68.7,375
68.8,371
68.9,367
69,363
69.1,359
69.2,353
69.3,343
69.4,332
69.5,321
69.6,308
69.7,297
69.8,285
69.9,273
70,263
70.1,254
70.2,248
70.3,242
70.4,237
70.5,233
70.6,228
70.7,223
70.8,218
70.9,214
71,211
71.1,204
71.2,196
71.3,189
71.4,182
71.5,176
71.6,169
71.7,162
71.8,152
71.9,143
72,133
72.1,122
72.2,113
72.3,103
72.4,95
72.5,92
72.6,88
72.7,85
72.8,81
72.9,79
73,78
73.1,76
73.2,75
73.3,74
73.4,69
73.5,64
73.6,60
73.7,56
73.8,54
73.9,50
74,47
74.1,44
74.2,42
74.3,43
74.4,48
74.5,53
74.6,58
74.7,64
74.8,71
74.9,77
75,82
75.1,84
75.2,84
75.3,81
75.4,78
75.5,75
75.6,71
75.7,67
75.8,63
75.9,60
76,57
76.1,56
76.2,54
76.3,54
76.4,54
76.5,55
76.6,57
76.7,57
76.8,58
76.9,59
77,60
77.1,60
77.2,60
77.3,61
77.4,62
77.5,64
77.6,69
77.7,75
77.8,80
77.9,85
78,88
78.1,91
78.2,91
78.3,91
78.4,89
78.5,83
78.6,77
78.7,72
78.8,68
78.9,65
79,63
79.1,63
79.2,64
79.3,66
79.4,68
79.5,68
79.6,68
79.7,66
79.8,63
79.9,61
80,56
80.1,51
80.2,45
80.3,38
80.4,35
80.5,32
80.6,30
80.7,28
80.8,27
80.9,27
81,27
81.1,24
81.2,21
81.3,17
81.4,13
81.5,8
81.6,2
81.7,-7
81.8,-21
81.9,-37
82,-53
82.1,-70
82.2,-97
82.3,-127
82.4,-160
82.5,-196
82.6,-232
82.7,-271
82.8,-310
82.9,-348
83,-387
83.1,-430
83.2,-474
83.3,-517
83.4,-560
83.5,-601
83.6,-634
83.7,-663
83.8,-687
83.9,-709
84,-726
84.1,-736
84.2,-745
84.3,-752
84.4,-757
84.5,-762
84.6,-767
84.7,-772
84.8,-775
84.9,-779
85,-781
85.1,-782
85.2,-783
85.3,-783
85.4,-783
85.5,-781
85.6,-778
85.7,-775
85.8,-772
85.9,-770
86,-767
86.1,-763
86.2,-759
86.3,-754
86.4,-751
86.5,-747
86.6,-743
86.7,-737
