Length,HU
0.1,883
0.2,893
0.3,895
0.4,901
0.5,910
0.6,917
0.7,919
0.8,920
0.9,923
1,923
1.1,922
1.2,912
1.3,901
1.4,890
1.5,879
1.6,867
1.7,849
1.8,831
1.9,819
2,809
2.1,802
2.2,796
2.3,792
2.4,797
2.5,803
2.6,809
2.7,814
2.8,822
2.9,829
3,836
3.1,840
3.2,844
3.3,847
3.4,843
3.5,819
3.6,789
3.7,755
3.8,737
3.9,723
4,710
4.1,704
4.2,724
4.3,745
4.4,768
4.5,794
4.6,821
4.7,845
4.8,863
4.9,864
5,859
5.1,848
5.2,829
5.3,809
5.4,792
5.5,782
5.6,782
5.7,786
5.8,789
5.9,797
6,808
6.1,819
6.2,831
6.3,836
6.4,839
6.5,842
6.6,845
6.7,850
6.8,857
6.9,864
7,865
7.1,861
7.2,856
7.3,845
7.4,823
7.5,801
7.6,783
7.7,776
7.8,775
7.9,777
8,788
8.1,807
8.2,821
8.3,831
8.4,829
8.5,822
8.6,813
8.7,795
8.8,774
8.9,754
9,740
9.1,739
9.2,745
9.3,756
9.4,771
9.5,783
9.6,798
9.7,815
9.8,825
9.9,833
10,843
10.1,849
10.2,846
10.3,845
10.4,847
10.5,856
10.6,867
10.7,878
10.8,885
10.9,891
11,897
11.1,902
11.2,907
11.3,913
11.4,911
11.5,907
11.6,893
11.7,878
11.8,863
11.9,853
12,850
12.1,850
12.2,849
12.3,851
12.4,853
12.5,856
12.6,857
12.7,852
12.8,846
12.9,840
13,839
13.1,839
13.2,839
13.3,838
13.4,840
13.5,846
13.6,853
13.7,858
13.8,864
13.9,868
14,865
14.1,857
14.2,852
14.3,854
14.4,855
14.5,853
14.6,849
14.7,844
14.8,839
14.9,830
15,817
15.1,789
15.2,760
15.3,731
15.4,706
15.5,697
15.6,692
15.7,689
15.8,700
15.9,717
16,732
16.1,743
16.2,747
16.3,750
16.4,751
16.5,753
16.6,755
16.7,760
16.8,766
16.9,767
17,768
17.1,769
17.2,764
17.3,753
17.4,740
17.5,726
17.6,718
17.7,715
17.8,719
17.9,727
18,735
18.1,741
18.2,744
18.3,721
18.4,673
18.5,616
18.6,563
18.7,528
18.8,496
18.9,465
19,455
19.1,459
19.2,458
19.3,452
19.4,437
19.5,422
19.6,404
19.7,374
19.8,341
19.9,306
20,273
20.1,247
20.2,226
20.3,204
20.4,185
20.5,170
20.6,159
20.7,147
20.8,130
20.9,117
21,102
21.1,77
21.2,51
21.3,29
21.4,13
21.5,10
21.6,12
21.7,16
21.8,20
21.9,20
22,20
22.1,20
22.2,25
22.3,26
22.4,22
22.5,18
22.6,18
22.7,20
22.8,28
22.9,62
23,99
23.1,140
23.2,183
23.3,228
23.4,276
23.5,323
23.6,365
23.7,403
23.8,429
23.9,439
24,438
24.1,430
24.2,420
24.3,405
24.4,389
24.5,374
24.6,365
24.7,351
24.8,340
24.9,325
25,313
25.1,294
25.2,269
25.3,240
25.4,237
25.5,240
25.6,241
25.7,238
25.8,229
25.9,215
26,195
26.1,169
26.2,140
26.3,113
26.4,95
26.5,83
26.6,73
26.7,65
26.8,63
26.9,62
27,68
27.1,68
27.2,55
27.3,29
27.4,0
27.5,-35
27.6,-68
27.7,-100
27.8,-112
27.9,-103
28,-86
28.1,-69
28.2,-59
28.3,-55
28.4,-57
28.5,-66
28.6,-78
28.7,-88
28.8,-97
28.9,-95
29,-89
29.1,-80
29.2,-67
29.3,-54
29.4,-43
29.5,-33
29.6,-35
29.7,-40
29.8,-45
29.9,-47
30,-47
30.1,-48
30.2,-47
30.3,-48
30.4,-48
30.5,-43
