Length,HU
0.1,623
0.2,630
0.3,635
0.4,633
0.5,629
0.6,627
0.7,625
0.8,624
0.9,617
1,612
1.1,608
1.2,604
1.3,596
1.4,579
1.5,564
1.6,551
1.7,539
1.8,531
1.9,528
2,526
2.1,526
2.2,527
2.3,529
2.4,532
2.5,534
2.6,537
2.7,537
2.8,526
2.9,514
3,501
3.1,489
3.2,482
3.3,481
3.4,482
3.5,483
3.6,485
3.7,491
3.8,499
3.9,506
4,512
4.1,516
4.2,518
4.3,523
4.4,529
4.5,534
4.6,538
4.7,543
4.8,551
4.9,556
5,560
5.1,558
5.2,558
5.3,561
5.4,567
5.5,575
5.6,586
5.7,600
5.8,615
5.9,633
6,651
6.1,672
6.2,694
6.3,716
6.4,739
6.5,743
6.6,743
6.7,744
6.8,744
6.9,741
7,733
7.1,728
7.2,724
7.3,722
7.4,719
7.5,715
7.6,711
7.7,707
7.8,701
7.9,689
8,675
8.1,663
8.2,650
8.3,634
8.4,618
8.5,602
8.6,589
8.7,576
8.8,563
8.9,553
9,543
9.1,534
9.2,527
9.3,527
9.4,528
9.5,529
9.6,529
9.7,530
9.8,534
9.9,536
10,538
10.1,537
10.2,534
10.3,528
10.4,522
10.5,516
10.6,509
10.7,507
10.8,507
10.9,505
11,503
11.1,502
11.2,505
11.3,507
11.4,507
11.5,507
11.6,505
11.7,505
11.8,509
11.9,513
12,515
12.1,513
12.2,509
12.3,506
12.4,502
12.5,496
12.6,495
12.7,492
12.8,486
12.9,478
13,470
13.1,461
13.2,451
13.3,439
13.4,427
13.5,411
13.6,394
13.7,378
13.8,361
13.9,348
14,336
14.1,324
14.2,314
14.3,305
14.4,300
14.5,296
14.6,292
14.7,288
14.8,283
14.9,278
15,270
15.1,261
15.2,251
15.3,240
15.4,227
15.5,216
15.6,206
15.7,196
15.8,189
15.9,183
16,177
16.1,171
16.2,164
16.3,160
16.4,156
16.5,148
16.6,138
16.7,127
16.8,115
16.9,103
17,92
17.1,83
17.2,72
17.3,60
17.4,52
17.5,48
17.6,47
17.7,48
17.8,50
17.9,55
18,62
18.1,64
18.2,58
18.3,52
18.4,47
18.5,43
18.6,37
18.7,31
18.8,28
18.9,26
19,27
19.1,30
19.2,39
19.3,48
19.4,59
19.5,71
19.6,74
19.7,73
19.8,72
19.9,69
20,65
20.1,59
20.2,53
20.3,46
20.4,40
20.5,39
20.6,40
20.7,42
20.8,46
20.9,49
21,45
21.1,39
21.2,31
21.3,23
21.4,16
21.5,13
21.6,10
21.7,8
21.8,12
21.9,22
22,33
22.1,42
22.2,50
22.3,55
22.4,54
22.5,52
22.6,51
22.7,49
22.8,49
22.9,53
23,58
23.1,65
23.2,72
23.3,70
23.4,64
23.5,59
23.6,55
23.7,53
23.8,55
23.9,55
24,56
24.1,59
24.2,65
24.3,71
24.4,77
24.5,83
24.6,93
24.7,106
24.8,119
24.9,129
25,136
25.1,142
25.2,132
25.3,123
25.4,114
25.5,103
25.6,94
25.7,84
25.8,74
25.9,63
26,53
26.1,48
26.2,47
26.3,46
26.4,45
26.5,46
26.6,48
26.7,51
26.8,54
26.9,58
27,61
27.1,64
27.2,66
27.3,68
27.4,69
27.5,67
27.6,66
27.7,65
27.8,62
27.9,59
28,57
28.1,56
28.2,56
28.3,55
28.4,55
28.5,57
28.6,57
28.7,56
28.8,53
28.9,52
29,51
29.1,50
29.2,48
29.3,45
29.4,51
29.5,55
29.6,60
29.7,65
29.8,69
29.9,70
30,71
30.1,70
30.2,69
30.3,62
30.4,54
30.5,48
30.6,44
30.7,43
30.8,54
30.9,66
31,79
31.1,93
31.2,106
31.3,106
31.4,106
31.5,105
31.6,104
31.7,100
31.8,92
31.9,83
32,75
32.1,69
32.2,63
32.3,57
32.4,51
32.5,45
32.6,40
32.7,38
32.8,38
32.9,43
33,50
33.1,61
33.2,76
33.3,91
33.4,103
33.5,113
33.6,112
33.7,111
33.8,110
33.9,108
34,105
34.1,100
34.2,97
34.3,95
34.4,94
34.5,91
34.6,86
34.7,80
34.8,73
34.9,64
35,61
35.1,60
35.2,59
35.3,60
35.4,62
35.5,71
35.6,80
35.7,87
35.8,92
35.9,93
36,89
36.1,84
36.2,78
36.3,71
36.4,68
36.5,66
36.6,66
36.7,65
36.8,63
36.9,54
37,45
37.1,40
37.2,36
37.3,35
37.4,35
37.5,35
37.6,34
37.7,33
37.8,37
37.9,39
38,41
38.1,40
38.2,37
38.3,35
38.4,35
38.5,37
38.6,40
38.7,44
38.8,49
38.9,55
39,62
39.1,70
39.2,72
39.3,73
39.4,74
39.5,75
39.6,74
39.7,68
39.8,65
39.9,63
40,63
40.1,65
40.2,68
40.3,71
40.4,76
40.5,82
40.6,84
40.7,86
40.8,83
40.9,80
41,79
41.1,78
41.2,77
41.3,75
41.4,74
41.5,73
41.6,71
41.7,67
41.8,64
41.9,62
42,56
42.1,49
42.2,40
42.3,29
42.4,21
42.5,14
42.6,7
42.7,-1
42.8,-9
42.9,-7
43,1
43.1,7
43.2,11
43.3,14
43.4,21
43.5,29
43.6,36
43.7,43
43.8,48
43.9,52
44,57
44.1,63
44.2,67
44.3,71
44.4,71
44.5,68
44.6,63
44.7,57
44.8,49
44.9,42
45,35
45.1,30
45.2,28
45.3,31
45.4,36
45.5,41
45.6,45
45.7,46
45.8,42
45.9,38
46,34
46.1,32
46.2,32
46.3,33
46.4,34
46.5,34
46.6,37
46.7,43
46.8,48
46.9,53
47,57
47.1,62
47.2,67
47.3,71
47.4,74
47.5,76
47.6,75
47.7,71
47.8,66
47.9,60
48,53
48.1,45
48.2,40
48.3,35
48.4,32
48.5,33
48.6,39
48.7,47
48.8,55
48.9,60
49,61
49.1,61
49.2,61
49.3,61
49.4,60
49.5,58
49.6,55
49.7,52
49.8,50
49.9,48
50,47
50.1,45
50.2,43
50.3,40
50.4,40
50.5,41
50.6,41
50.7,41
50.8,44
50.9,46
51,47
51.1,48
51.2,48
51.3,48
51.4,48
51.5,47
51.6,46
51.7,45
51.8,44
51.9,44
52,43
52.1,40
52.2,37
52.3,39
52.4,44
52.5,50
52.6,55
52.7,62
52.8,71
52.9,78
53,84
