Length,HU
0.1,183
0.2,181
0.3,179
0.4,174
0.5,171
0.6,169
0.7,167
0.8,170
0.9,172
1,175
1.1,177
1.2,180
1.3,182
1.4,184
1.5,180
1.6,175
1.7,168
1.8,162
1.9,156
2,150
2.1,149
2.2,155
2.3,161
2.4,168
2.5,175
2.6,182
2.7,188
2.8,192
2.9,193
3,189
3.1,181
3.2,173
3.3,165
3.4,158
3.5,153
3.6,151
3.7,150
3.8,151
3.9,155
4,161
4.1,168
4.2,174
4.3,178
4.4,179
4.5,180
4.6,182
4.7,185
4.8,185
4.9,182
5,180
5.1,178
5.2,178
5.3,174
5.4,168
5.5,162
5.6,157
5.7,155
5.8,155
5.9,157
6,159
6.1,162
6.2,165
6.3,168
6.4,170
6.5,173
6.6,175
6.7,177
6.8,178
6.9,181
7,185
7.1,191
7.2,198
7.3,205
7.4,213
7.5,216
7.6,215
7.7,213
7.8,210
7.9,207
8,202
8.1,197
8.2,187
8.3,178
8.4,170
8.5,167
8.6,164
8.7,163
8.8,163
8.9,167
9,171
9.1,176
9.2,182
9.3,187
9.4,186
9.5,185
9.6,186
9.7,189
9.8,190
9.9,190
10,189
10.1,188
10.2,187
10.3,187
10.4,185
10.5,181
10.6,175
10.7,173
10.8,170
10.9,167
11,164
11.1,166
11.2,177
11.3,189
11.4,202
11.5,215
11.6,227
11.7,237
11.8,246
11.9,254
12,259
12.1,259
12.2,254
12.3,246
12.4,238
12.5,224
12.6,210
12.7,196
12.8,182
12.9,169
13,158
13.1,146
13.2,135
13.3,124
13.4,116
13.5,111
13.6,110
13.7,110
13.8,112
13.9,119
14,127
14.1,137
14.2,147
14.3,154
14.4,160
14.5,166
14.6,173
14.7,176
14.8,169
14.9,159
15,149
15.1,140
15.2,131
15.3,123
15.4,114
15.5,105
15.6,97
15.7,93
15.8,89
15.9,85
16,80
16.1,79
16.2,78
16.3,76
16.4,74
16.5,73
16.6,76
16.7,79
16.8,82
16.9,88
17,93
17.1,97
17.2,100
17.3,103
17.4,105
17.5,103
17.6,101
17.7,99
17.8,97
17.9,96
18,96
18.1,97
18.2,100
18.3,101
18.4,100
18.5,100
18.6,100
18.7,100
18.8,99
18.9,98
19,99
19.1,99
19.2,99
19.3,101
19.4,100
19.5,98
19.6,98
19.7,100
19.8,102
19.9,105
20,106
20.1,109
20.2,111
20.3,109
20.4,107
20.5,105
20.6,106
20.7,108
20.8,111
20.9,114
21,117
21.1,121
21.2,126
21.3,130
21.4,135
21.5,138
21.6,142
21.7,146
21.8,151
21.9,153
22,149
22.1,145
22.2,138
22.3,128
22.4,118
22.5,107
22.6,96
22.7,84
22.8,73
22.9,71
23,72
23.1,75
23.2,79
