Length,HU
0.1,966
0.2,960
0.3,954
0.4,950
0.5,946
0.6,944
0.7,942
0.8,941
0.9,940
1,936
1.1,933
1.2,932
1.3,932
1.4,933
1.5,934
1.6,934
1.7,936
1.8,940
1.9,944
2,949
2.1,955
2.2,960
2.3,964
2.4,967
2.5,968
2.6,962
2.7,957
2.8,954
2.9,951
3,948
3.1,944
3.2,942
3.3,939
3.4,934
3.5,923
3.6,913
3.7,905
3.8,901
3.9,903
4,909
4.1,919
4.2,928
4.3,938
4.4,947
4.5,953
4.6,955
4.7,955
4.8,956
4.9,957
5,957
5.1,957
5.2,957
5.3,959
5.4,960
5.5,960
5.6,961
5.7,963
5.8,964
5.9,965
6,967
6.1,969
6.2,969
6.3,967
6.4,959
6.5,951
6.6,943
6.7,936
6.8,932
6.9,929
7,926
7.1,923
7.2,920
7.3,916
7.4,909
7.5,900
7.6,886
7.7,863
7.8,837
7.9,808
8,778
8.1,748
8.2,720
8.3,691
8.4,662
8.5,635
8.6,609
8.7,582
8.8,556
8.9,530
9,501
9.1,472
9.2,442
9.3,415
9.4,389
9.5,363
9.6,337
9.7,316
9.8,300
9.9,284
10,269
10.1,256
10.2,246
10.3,236
10.4,226
10.5,214
10.6,196
10.7,178
10.8,162
10.9,147
11,132
11.1,117
11.2,103
11.3,88
11.4,76
11.5,64
11.6,53
11.7,47
11.8,43
11.9,42
12,41
12.1,42
12.2,41
12.3,41
12.4,41
12.5,43
12.6,46
12.7,53
12.8,60
12.9,70
13,78
13.1,86
13.2,93
13.3,93
13.4,92
13.5,89
13.6,86
13.7,84
13.8,82
13.9,79
14,75
14.1,72
14.2,69
14.3,65
14.4,61
14.5,55
14.6,50
14.7,47
14.8,47
14.9,47
15,48
15.1,50
15.2,54
15.3,60
15.4,66
15.5,71
15.6,77
15.7,81
15.8,84
15.9,83
16,80
16.1,74
16.2,68
16.3,60
16.4,53
16.5,52
16.6,51
16.7,49
16.8,48
16.9,51
17,54
17.1,57
17.2,62
17.3,74
17.4,85
17.5,93
17.6,99
17.7,105
17.8,109
17.9,111
18,112
18.1,116
18.2,121
18.3,126
18.4,132
18.5,140
18.6,148
18.7,154
18.8,159
18.9,157
19,148
19.1,139
19.2,129
19.3,119
19.4,112
19.5,107
19.6,103
19.7,101
19.8,99
19.9,97
20,96
20.1,95
20.2,94
20.3,94
20.4,95
20.5,97
20.6,99
20.7,100
20.8,100
20.9,98
21,98
21.1,98
21.2,99
21.3,98
21.4,97
21.5,96
21.6,93
21.7,89
21.8,85
21.9,82
22,80
22.1,80
22.2,81
22.3,80
22.4,80
22.5,82
22.6,85
22.7,88
22.8,91
22.9,95
23,100
23.1,106
23.2,111
23.3,113
23.4,115
23.5,116
23.6,117
23.7,116
23.8,115
23.9,113
24,110
24.1,108
24.2,106
24.3,104
24.4,107
24.5,113
24.6,120
24.7,128
24.8,136
24.9,142
25,148
25.1,153
25.2,151
25.3,144
25.4,135
25.5,124
25.6,114
25.7,106
25.8,99
25.9,93
26,92
26.1,98
26.2,106
26.3,113
26.4,121
26.5,123
26.6,125
26.7,126
26.8,126
26.9,124
27,122
27.1,119
27.2,115
27.3,114
27.4,114
27.5,115
27.6,120
27.7,126
27.8,132
27.9,138
28,142
28.1,143
28.2,140
28.3,136
28.4,126
28.5,116
28.6,108
28.7,103
28.8,101
28.9,101
29,105
29.1,110
29.2,117
29.3,124
29.4,127
29.5,130
29.6,130
29.7,131
29.8,131
29.9,131
30,129
30.1,129
30.2,128
30.3,128
30.4,131
30.5,135
30.6,140
30.7,143
30.8,143
30.9,143
31,143
31.1,141
31.2,139
31.3,137
31.4,138
31.5,138
31.6,134
31.7,131
31.8,129
31.9,130
32,132
32.1,136
32.2,141
32.3,145
32.4,143
32.5,142
32.6,140
32.7,137
32.8,129
32.9,123
33,118
33.1,116
33.2,119
33.3,125
33.4,131
33.5,139
33.6,135
33.7,133
33.8,132
33.9,132
34,132
34.1,131
34.2,130
34.3,130
34.4,128
34.5,126
34.6,124
34.7,120
34.8,115
34.9,110
35,106
35.1,103
35.2,100
35.3,98
35.4,95
35.5,92
35.6,89
35.7,90
35.8,92
35.9,97
36,102
36.1,110
36.2,118
36.3,124
36.4,128
36.5,129
36.6,130
36.7,130
36.8,131
36.9,132
37,134
37.1,135
37.2,136
37.3,136
37.4,134
37.5,132
37.6,128
37.7,126
37.8,125
37.9,126
38,128
38.1,131
38.2,132
38.3,131
38.4,127
38.5,123
38.6,119
38.7,115
38.8,113
38.9,113
39,112
39.1,112
39.2,113
39.3,113
39.4,113
39.5,114
39.6,114
39.7,113
39.8,111
39.9,112
40,114
40.1,117
40.2,120
40.3,122
40.4,123
40.5,122
40.6,120
40.7,118
40.8,116
40.9,114
41,113
41.1,113
41.2,116
41.3,120
41.4,126
41.5,129
41.6,129
41.7,129
41.8,128
41.9,126
42,124
42.1,123
42.2,125
42.3,128
42.4,130
42.5,131
42.6,133
42.7,132
42.8,128
42.9,125
43,121
43.1,114
43.2,108
43.3,104
43.4,100
43.5,98
43.6,100
43.7,103
43.8,109
43.9,115
44,119
44.1,123
44.2,127
44.3,132
44.4,135
44.5,137
44.6,140
44.7,142
44.8,143
44.9,140
45,136
45.1,129
45.2,123
45.3,117
45.4,113
45.5,110
45.6,109
45.7,107
45.8,104
45.9,98
46,92
46.1,89
46.2,89
46.3,92
46.4,96
46.5,100
46.6,107
46.7,110
46.8,111
46.9,110
47,108
47.1,105
47.2,104
47.3,104
47.4,102
47.5,100
47.6,99
47.7,96
47.8,94
47.9,95
48,98
48.1,101
48.2,108
48.3,115
48.4,122
48.5,128
48.6,131
48.7,128
48.8,125
48.9,122
49,119
49.1,115
49.2,111
49.3,108
49.4,104
49.5,98
49.6,93
49.7,89
49.8,87
49.9,90
50,94
50.1,100
50.2,107
50.3,112
50.4,115
50.5,118
50.6,119
50.7,118
50.8,115
50.9,113
51,109
51.1,107
51.2,107
51.3,107
51.4,108
51.5,111
51.6,114
51.7,118
51.8,122
51.9,126
52,129
52.1,131
52.2,132
52.3,129
52.4,122
52.5,116
52.6,112
52.7,110
52.8,110
52.9,112
53,115
53.1,116
53.2,118
53.3,120
53.4,121
53.5,123
53.6,123
53.7,119
53.8,114
53.9,110
54,108
54.1,104
54.2,99
54.3,95
54.4,92
54.5,91
54.6,90
54.7,90
54.8,91
54.9,92
55,92
55.1,93
55.2,93
55.3,91
55.4,89
55.5,86
55.6,82
55.7,77
55.8,71
55.9,64
56,55
56.1,47
56.2,45
56.3,45
56.4,45
56.5,46
56.6,49
56.7,51
56.8,52
56.9,50
57,49
57.1,50
57.2,51
57.3,52
57.4,55
57.5,57
57.6,56
57.7,53
57.8,51
57.9,51
58,50
58.1,48
58.2,50
58.3,56
58.4,60
58.5,63
58.6,65
58.7,62
58.8,59
58.9,55
59,50
59.1,48
59.2,45
59.3,43
59.4,41
59.5,42
59.6,43
59.7,43
59.8,44
59.9,46
60,47
60.1,48
60.2,48
60.3,49
60.4,50
60.5,52
60.6,54
60.7,55
60.8,54
60.9,54
61,55
61.1,57
61.2,56
61.3,55
61.4,54
61.5,54
61.6,55
61.7,54
61.8,54
61.9,54
62,53
62.1,49
62.2,44
62.3,39
62.4,34
62.5,30
62.6,26
62.7,21
62.8,16
62.9,14
63,14
63.1,13
63.2,11
63.3,10
63.4,9
63.5,7
63.6,3
63.7,3
63.8,5
63.9,6
64,7
64.1,9
64.2,8
64.3,5
64.4,-1
64.5,-8
64.6,-17
64.7,-26
64.8,-36
64.9,-46
65,-55
65.1,-65
65.2,-75
65.3,-86
65.4,-95
65.5,-104
65.6,-114
65.7,-124
65.8,-133
65.9,-142
66,-152
66.1,-163
66.2,-176
66.3,-191
66.4,-207
66.5,-225
66.6,-249
66.7,-274
66.8,-299
66.9,-325
67,-358
67.1,-395
67.2,-433
67.3,-472
67.4,-511
67.5,-550
67.6,-587
67.7,-622
67.8,-649
67.9,-667
68,-682
68.1,-694
68.2,-702
68.3,-708
68.4,-714
68.5,-719
68.6,-723
68.7,-726
68.8,-729
68.9,-732
69,-735
69.1,-737
69.2,-737
69.3,-735
69.4,-733
69.5,-731
69.6,-727
69.7,-722
69.8,-715
69.9,-709
70,-701
70.1,-692
70.2,-684
70.3,-676
70.4,-673
70.5,-672
70.6,-672
70.7,-674
70.8,-679
70.9,-683
71,-687
71.1,-690
71.2,-694
71.3,-697
71.4,-700
71.5,-702
