Length,HU
0.1,778
0.2,773
0.3,767
0.4,762
0.5,756
0.6,752
0.7,748
0.8,744
0.9,740
1,736
1.1,733
1.2,730
1.3,729
1.4,729
1.5,728
1.6,728
1.7,727
1.8,727
1.9,730
2,733
2.1,735
2.2,738
2.3,740
2.4,742
2.5,744
2.6,747
2.7,749
2.8,751
2.9,752
3,753
3.1,753
3.2,753
3.3,753
3.4,753
3.5,752
3.6,752
3.7,751
3.8,750
3.9,749
4,749
4.1,748
4.2,748
4.3,749
4.4,749
4.5,750
4.6,751
4.7,752
4.8,754
4.9,757
5,760
5.1,762
5.2,763
5.3,765
5.4,767
5.5,769
5.6,770
5.7,771
5.8,771
5.9,771
6,770
6.1,769
6.2,768
6.3,767
6.4,766
6.5,766
6.6,764
6.7,763
6.8,761
6.9,760
7,759
7.1,758
7.2,756
7.3,754
7.4,752
7.5,749
7.6,747
7.7,744
7.8,741
7.9,737
8,733
8.1,729
8.2,725
8.3,720
8.4,713
8.5,707
8.6,702
8.7,696
8.8,690
8.9,684
9,678
9.1,671
9.2,666
9.3,660
9.4,655
9.5,651
9.6,648
9.7,646
9.8,645
9.9,643
10,642
10.1,641
10.2,641
10.3,640
10.4,640
10.5,639
10.6,639
10.7,638
10.8,637
10.9,635
11,633
11.1,631
11.2,628
11.3,626
11.4,624
11.5,621
11.6,617
11.7,614
11.8,611
11.9,610
12,608
12.1,607
12.2,608
12.3,608
12.4,609
12.5,610
12.6,612
12.7,613
12.8,615
12.9,618
13,620
13.1,622
13.2,624
13.3,626
13.4,627
13.5,629
13.6,627
13.7,626
13.8,623
13.9,621
14,619
14.1,615
14.2,610
14.3,605
14.4,600
14.5,595
14.6,590
14.7,586
14.8,583
14.9,581
15,577
15.1,574
15.2,570
15.3,568
15.4,565
15.5,563
15.6,560
15.7,556
15.8,552
15.9,548
16,545
16.1,541
16.2,536
16.3,531
16.4,526
16.5,520
16.6,514
16.7,508
16.8,501
16.9,495
17,488
17.1,482
17.2,477
17.3,471
17.4,466
17.5,462
17.6,459
17.7,456
17.8,454
17.9,452
18,451
18.1,450
18.2,450
18.3,451
18.4,452
18.5,453
18.6,454
18.7,456
18.8,457
18.9,459
19,460
19.1,462
19.2,465
19.3,467
19.4,467
19.5,468
19.6,469
19.7,470
19.8,471
19.9,472
20,471
20.1,471
20.2,470
20.3,469
20.4,468
20.5,467
20.6,464
20.7,460
20.8,456
20.9,452
21,448
21.1,444
21.2,438
21.3,430
21.4,422
21.5,415
21.6,407
21.7,399
21.8,390
21.9,378
22,366
22.1,354
22.2,343
22.3,331
22.4,318
22.5,306
22.6,294
22.7,282
22.8,271
22.9,261
23,251
23.1,241
23.2,232
23.3,222
23.4,213
23.5,205
23.6,196
23.7,188
23.8,180
23.9,171
24,163
24.1,154
24.2,146
24.3,138
24.4,130
24.5,124
24.6,117
24.7,111
24.8,104
24.9,98
25,92
25.1,86
25.2,82
25.3,79
25.4,75
25.5,72
25.6,68
25.7,65
25.8,61
25.9,56
26,52
26.1,48
26.2,45
26.3,42
26.4,39
26.5,37
26.6,35
26.7,33
26.8,31
26.9,29
27,28
27.1,29
