Length,HU
0.1,199
0.2,197
0.3,194
0.4,191
0.5,188
0.6,183
0.7,179
0.8,175
0.9,171
1,167
1.1,165
1.2,163
1.3,160
1.4,158
1.5,156
1.6,155
1.7,154
1.8,153
1.9,153
2,152
2.1,152
2.2,151
2.3,151
2.4,150
2.5,150
2.6,150
2.7,150
2.8,149
2.9,148
3,146
3.1,145
3.2,145
3.3,144
3.4,144
3.5,144
3.6,144
3.7,145
3.8,146
3.9,148
4,149
4.1,151
4.2,153
4.3,156
4.4,159
4.5,162
4.6,164
4.7,167
4.8,170
4.9,174
5,177
5.1,180
5.2,183
5.3,185
5.4,187
5.5,188
5.6,190
5.7,191
5.8,192
5.9,192
6,191
6.1,191
6.2,190
6.3,190
6.4,190
6.5,189
6.6,188
6.7,186
6.8,184
6.9,182
7,179
7.1,177
7.2,175
7.3,174
7.4,172
7.5,170
7.6,168
7.7,167
7.8,166
7.9,165
8,164
8.1,164
8.2,164
8.3,164
8.4,164
8.5,165
8.6,166
8.7,168
8.8,169
8.9,171
9,172
9.1,174
9.2,173
9.3,173
9.4,172
9.5,172
9.6,171
9.7,170
9.8,169
9.9,168
10,166
10.1,165
10.2,164
10.3,163
10.4,162
10.5,162
10.6,162
10.7,161
10.8,161
10.9,162
11,162
11.1,163
11.2,165
11.3,165
11.4,166
11.5,167
11.6,168
11.7,169
11.8,170
11.9,172
12,174
12.1,175
12.2,176
12.3,177
12.4,179
12.5,181
12.6,182
12.7,183
12.8,184
12.9,184
13,183
13.1,182
13.2,180
13.3,178
13.4,176
13.5,173
13.6,171
13.7,168
13.8,165
13.9,162
14,160
14.1,158
14.2,156
14.3,154
14.4,152
14.5,150
14.6,149
14.7,148
14.8,147
14.9,147
15,146
15.1,146
15.2,146
15.3,146
15.4,146
15.5,146
15.6,146
15.7,145
15.8,143
15.9,141
16,139
16.1,136
16.2,133
16.3,130
16.4,128
16.5,126
16.6,123
16.7,121
16.8,119
16.9,116
17,114
17.1,112
17.2,111
17.3,110
17.4,109
17.5,108
17.6,108
17.7,107
17.8,107
17.9,107
18,108
