Length,HU
0.1,183
0.2,184
0.3,184
0.4,185
0.5,186
0.6,187
0.7,187
0.8,187
0.9,186
1,186
1.1,185
1.2,185
1.3,184
1.4,183
1.5,183
1.6,182
1.7,182
1.8,181
1.9,180
2,179
2.1,178
2.2,177
2.3,176
2.4,175
2.5,174
2.6,173
2.7,171
2.8,170
2.9,169
3,168
3.1,167
3.2,166
3.3,165
3.4,166
3.5,168
3.6,169
3.7,170
3.8,172
3.9,174
4,175
4.1,176
4.2,176
4.3,176
4.4,175
4.5,174
4.6,172
4.7,170
4.8,169
4.9,167
5,166
5.1,164
5.2,163
5.3,162
5.4,162
5.5,161
5.6,161
5.7,161
5.8,161
5.9,161
6,160
6.1,159
6.2,158
6.3,157
6.4,155
6.5,155
6.6,155
6.7,154
6.8,154
6.9,154
7,155
7.1,155
7.2,156
7.3,157
7.4,159
7.5,160
7.6,162
7.7,163
7.8,164
7.9,165
8,165
8.1,166
8.2,165
8.3,165
8.4,164
8.5,162
8.6,161
8.7,160
8.8,159
8.9,158
9,158
9.1,158
9.2,158
9.3,160
9.4,161
9.5,163
9.6,165
9.7,167
9.8,170
9.9,172
10,174
10.1,176
10.2,178
10.3,180
10.4,182
10.5,183
10.6,185
10.7,187
10.8,189
10.9,192
11,194
11.1,197
11.2,199
11.3,201
11.4,203
11.5,206
11.6,209
11.7,212
11.8,215
11.9,216
12,218
12.1,219
12.2,220
12.3,221
12.4,221
12.5,220
12.6,219
12.7,217
12.8,215
12.9,212
13,209
13.1,205
13.2,201
13.3,197
13.4,193
13.5,189
13.6,186
13.7,182
13.8,179
13.9,176
14,173
14.1,171
14.2,168
14.3,166
14.4,164
14.5,163
14.6,162
14.7,161
14.8,161
14.9,162
15,163
15.1,165
15.2,168
15.3,172
15.4,176
15.5,181
15.6,186
15.7,190
15.8,194
15.9,198
16,202
16.1,204
16.2,206
16.3,206
16.4,205
16.5,203
16.6,200
16.7,197
16.8,193
16.9,190
17,185
17.1,178
17.2,172
17.3,166
17.4,159
17.5,153
17.6,146
17.7,140
17.8,135
17.9,130
18,125
18.1,121
18.2,117
18.3,113
18.4,111
18.5,110
18.6,109
18.7,108
18.8,107
18.9,107
19,106
19.1,106
19.2,105
19.3,105
19.4,105
19.5,105
19.6,104
19.7,102
19.8,102
19.9,101
20,101
20.1,102
20.2,102
20.3,102
20.4,103
20.5,104
20.6,105
20.7,107
20.8,110
20.9,112
21,115
21.1,117
21.2,118
21.3,119
21.4,120
21.5,120
21.6,120
21.7,120
21.8,119
21.9,119
22,118
22.1,117
22.2,115
22.3,114
22.4,114
22.5,113
22.6,114
22.7,114
22.8,115
22.9,114
23,114
23.1,114
23.2,114
23.3,114
23.4,114
23.5,113
23.6,112
23.7,110
23.8,109
23.9,108
24,106
24.1,105
24.2,103
24.3,102
24.4,101
24.5,100
24.6,99
24.7,98
24.8,99
24.9,99
25,100
25.1,102
25.2,104
25.3,107
25.4,109
25.5,112
25.6,115
25.7,117
25.8,118
25.9,120
26,121
26.1,121
26.2,121
26.3,120
26.4,118
26.5,116
26.6,115
26.7,114
26.8,113
26.9,112
27,111
27.1,111
27.2,111
27.3,112
27.4,113
27.5,115
27.6,118
27.7,121
27.8,124
27.9,127
28,129
28.1,131
28.2,133
28.3,135
28.4,136
28.5,137
28.6,138
28.7,137
28.8,136
28.9,135
29,133
29.1,132
29.2,130
29.3,129
29.4,128
29.5,127
29.6,126
29.7,126
29.8,127
29.9,128
30,130
30.1,133
30.2,135
30.3,138
30.4,142
30.5,146
30.6,150
30.7,154
30.8,158
30.9,162
31,166
31.1,170
31.2,173
31.3,176
31.4,179
31.5,182
31.6,184
31.7,187
31.8,189
31.9,192
32,193
32.1,193
32.2,193
32.3,193
32.4,192
32.5,192
32.6,190
32.7,188
32.8,186
32.9,184
33,183
33.1,181
33.2,180
33.3,179
33.4,177
33.5,176
33.6,175
33.7,174
33.8,172
33.9,172
34,171
34.1,171
34.2,170
34.3,169
34.4,168
34.5,167
34.6,166
34.7,164
34.8,163
34.9,162
35,161
35.1,160
35.2,159
35.3,158
35.4,157
35.5,156
35.6,156
35.7,155
35.8,154
35.9,153
36,153
36.1,153
36.2,153
36.3,153
36.4,153
36.5,152
36.6,153
36.7,154
36.8,156
36.9,157
37,158
37.1,159
37.2,161
37.3,162
37.4,163
37.5,164
37.6,165
37.7,166
37.8,168
37.9,169
38,168
38.1,168
38.2,168
38.3,168
38.4,168
38.5,168
38.6,168
38.7,169
38.8,170
38.9,171
39,172
39.1,173
39.2,174
39.3,175
39.4,175
39.5,175
39.6,176
39.7,176
39.8,175
39.9,173
40,170
40.1,168
40.2,166
40.3,165
40.4,163
40.5,161
40.6,159
40.7,157
40.8,156
40.9,155
41,155
41.1,155
41.2,156
41.3,156
41.4,156
41.5,157
41.6,158
41.7,159
41.8,160
41.9,161
42,163
42.1,164
42.2,166
42.3,168
42.4,170
42.5,172
42.6,174
42.7,175
42.8,176
42.9,177
43,178
43.1,179
43.2,181
43.3,182
43.4,183
43.5,183
43.6,183
43.7,183
43.8,183
43.9,182
44,181
44.1,179
44.2,178
44.3,176
44.4,175
44.5,174
44.6,174
44.7,173
44.8,172
44.9,172
45,171
45.1,170
45.2,170
45.3,169
45.4,168
45.5,167
45.6,167
45.7,166
