Length,HU
0.1,156
0.2,157
0.3,157
0.4,157
0.5,156
0.6,155
0.7,154
0.8,152
0.9,150
1,148
1.1,145
1.2,138
1.3,131
1.4,124
1.5,117
1.6,112
1.7,110
1.8,107
1.9,105
2,104
2.1,104
2.2,104
2.3,104
2.4,105
2.5,107
2.6,110
2.7,112
2.8,113
2.9,114
3,113
3.1,111
3.2,109
3.3,106
3.4,103
3.5,101
3.6,100
3.7,99
3.8,98
3.9,99
4,101
4.1,103
4.2,105
4.3,107
4.4,108
4.5,109
4.6,110
4.7,110
4.8,114
4.9,120
5,126
5.1,131
5.2,135
5.3,132
5.4,129
5.5,125
5.6,121
5.7,115
5.8,106
5.9,98
6,89
6.1,82
6.2,83
6.3,85
6.4,88
6.5,90
6.6,95
6.7,100
6.8,107
6.9,113
7,121
7.1,120
7.2,118
7.3,116
7.4,114
7.5,112
7.6,112
7.7,111
7.8,111
7.9,110
8,110
8.1,110
8.2,110
8.3,111
8.4,110
8.5,102
8.6,93
8.7,85
8.8,76
8.9,73
9,69
9.1,66
9.2,62
9.3,59
9.4,62
9.5,64
9.6,67
9.7,70
9.8,75
9.9,82
10,89
10.1,96
10.2,104
10.3,113
10.4,123
10.5,131
10.6,139
10.7,144
10.8,146
10.9,149
11,151
11.1,154
11.2,149
11.3,144
11.4,140
11.5,137
11.6,133
11.7,128
11.8,122
11.9,117
12,110
12.1,108
12.2,105
12.3,101
12.4,98
12.5,95
12.6,95
12.7,96
12.8,96
12.9,97
13,95
13.1,93
13.2,92
13.3,91
13.4,88
13.5,81
13.6,75
13.7,70
13.8,65
13.9,58
14,51
14.1,43
14.2,35
14.3,29
14.4,25
14.5,21
14.6,16
14.7,10
14.8,12
14.9,16
15,21
15.1,25
15.2,32
15.3,45
15.4,58
15.5,71
15.6,84
15.7,90
15.8,94
15.9,98
16,102
16.1,104
16.2,95
16.3,87
16.4,78
16.5,70
16.6,61
16.7,52
16.8,43
16.9,34
17,25
17.1,30
17.2,34
17.3,39
17.4,43
17.5,49
17.6,56
17.7,63
17.8,70
17.9,78
18,79
18.1,79
18.2,81
18.3,82
18.4,81
18.5,75
18.6,70
18.7,66
18.8,63
18.9,61
19,60
19.1,58
19.2,57
19.3,57
19.4,61
19.5,65
19.6,68
19.7,70
19.8,73
19.9,76
20,79
20.1,83
20.2,86
20.3,86
20.4,87
20.5,87
20.6,87
20.7,89
20.8,91
20.9,93
21,96
21.1,98
21.2,101
21.3,104
21.4,107
21.5,109
21.6,109
21.7,107
21.8,106
21.9,104
22,103
22.1,102
22.2,100
22.3,99
22.4,98
22.5,99
22.6,102
22.7,104
22.8,107
22.9,110
23,112
23.1,115
23.2,118
23.3,121
23.4,123
23.5,123
23.6,123
23.7,122
23.8,122
23.9,118
24,113
24.1,109
24.2,106
24.3,104
24.4,103
24.5,102
24.6,102
24.7,101
24.8,114
24.9,130
25,144
25.1,158
25.2,169
25.3,177
25.4,185
25.5,193
25.6,200
25.7,203
25.8,206
25.9,209
26,213
26.1,218
26.2,224
26.3,229
26.4,234
26.5,240
26.6,248
26.7,258
26.8,268
26.9,278
27,288
27.1,300
27.2,312
27.3,324
27.4,336
27.5,346
27.6,354
27.7,362
27.8,370
27.9,378
28,380
28.1,382
28.2,386
28.3,389
28.4,394
28.5,399
28.6,404
28.7,410
28.8,416
28.9,416
29,414
29.1,412
29.2,408
29.3,408
29.4,411
29.5,415
29.6,419
29.7,423
29.8,428
29.9,433
30,438
30.1,443
30.2,448
30.3,454
30.4,460
30.5,465
30.6,469
30.7,478
30.8,487
30.9,495
31,503
31.1,509
31.2,515
31.3,521
31.4,527
31.5,533
31.6,535
31.7,536
31.8,536
31.9,537
32,538
32.1,541
32.2,543
32.3,545
32.4,547
32.5,549
32.6,551
32.7,553
32.8,555
32.9,557
33,552
33.1,547
33.2,543
33.3,538
33.4,532
33.5,525
33.6,518
33.7,510
33.8,502
33.9,496
34,490
34.1,484
34.2,480
34.3,478
34.4,480
34.5,482
34.6,485
34.7,488
34.8,492
34.9,497
35,501
35.1,505
35.2,505
35.3,497
35.4,488
35.5,480
35.6,471
35.7,457
35.8,442
35.9,428
36,413
36.1,403
36.2,402
36.3,401
36.4,399
36.5,397
36.6,398
36.7,401
36.8,403
36.9,407
37,413
37.1,422
37.2,432
37.3,442
37.4,452
37.5,453
37.6,449
37.7,445
37.8,442
37.9,438
38,435
38.1,432
38.2,429
38.3,425
38.4,426
38.5,430
38.6,434
38.7,438
38.8,442
38.9,450
39,459
39.1,468
39.2,477
39.3,480
39.4,476
39.5,472
39.6,468
39.7,464
39.8,459
39.9,455
40,450
40.1,446
40.2,445
40.3,447
40.4,450
40.5,453
40.6,455
40.7,455
40.8,456
40.9,456
41,457
41.1,458
41.2,459
41.3,459
41.4,459
41.5,459
41.6,461
41.7,463
41.8,463
41.9,463
42,461
42.1,458
42.2,454
42.3,450
42.4,445
42.5,444
42.6,443
42.7,441
42.8,438
42.9,434
43,430
43.1,425
43.2,421
43.3,417
43.4,415
43.5,414
43.6,415
43.7,416
43.8,418
43.9,415
44,412
44.1,409
44.2,407
44.3,402
44.4,395
44.5,388
44.6,381
44.7,374
44.8,366
44.9,357
45,350
45.1,343
45.2,339
45.3,337
45.4,336
45.5,337
45.6,340
45.7,344
45.8,348
45.9,352
46,358
46.1,364
46.2,371
46.3,377
46.4,383
46.5,388
46.6,395
46.7,401
46.8,406
46.9,410
47,413
47.1,417
47.2,421
47.3,425
47.4,429
47.5,430
47.6,432
47.7,434
47.8,437
47.9,439
48,442
48.1,445
48.2,448
48.3,452
48.4,455
48.5,457
48.6,459
48.7,461
48.8,462
48.9,463
49,463
49.1,464
49.2,464
49.3,466
49.4,470
49.5,474
49.6,478
49.7,481
49.8,481
49.9,481
50,480
50.1,480
50.2,481
50.3,484
50.4,486
50.5,488
50.6,490
50.7,494
50.8,498
50.9,501
51,504
51.1,507
51.2,509
51.3,512
51.4,515
51.5,517
51.6,524
51.7,530
51.8,536
51.9,540
52,542
52.1,540
52.2,537
52.3,535
52.4,532
52.5,524
52.6,516
52.7,507
52.8,499
52.9,492
53,487
53.1,482
53.2,478
53.3,474
53.4,466
53.5,456
53.6,447
53.7,438
53.8,431
53.9,426
54,421
54.1,415
54.2,410
54.3,407
54.4,404
54.5,402
54.6,399
54.7,397
54.8,399
54.9,402
55,405
55.1,408
55.2,411
55.3,416
55.4,421
55.5,428
55.6,434
55.7,438
55.8,442
55.9,446
56,451
56.1,451
56.2,445
56.3,438
56.4,431
56.5,424
56.6,418
56.7,412
56.8,406
56.9,399
57,396
57.1,396
57.2,397
57.3,398
57.4,399
57.5,406
57.6,414
57.7,422
57.8,430
57.9,435
58,437
58.1,439
58.2,438
58.3,437
58.4,437
58.5,436
58.6,434
58.7,432
58.8,430
58.9,425
59,420
59.1,415
59.2,410
59.3,403
59.4,397
59.5,390
59.6,384
59.7,379
59.8,372
59.9,366
60,360
60.1,355
60.2,352
60.3,350
60.4,349
60.5,347
60.6,346
60.7,348
60.8,349
60.9,350
61,350
61.1,351
61.2,353
61.3,356
61.4,359
61.5,363
61.6,363
61.7,363
61.8,362
61.9,362
62,357
62.1,346
62.2,336
62.3,326
62.4,315
62.5,307
62.6,300
62.7,292
62.8,285
62.9,276
63,265
63.1,254
63.2,243
63.3,231
63.4,218
63.5,207
63.6,195
63.7,184
63.8,176
63.9,173
64,169
64.1,164
64.2,158
64.3,154
64.4,151
64.5,148
64.6,145
64.7,141
64.8,138
64.9,135
65,132
65.1,130
65.2,125
65.3,120
65.4,115
65.5,112
65.6,108
65.7,102
65.8,95
65.9,89
66,83
66.1,74
66.2,64
66.3,54
66.4,45
66.5,35
66.6,34
66.7,33
66.8,31
66.9,28
67,27
67.1,28
67.2,28
67.3,27
67.4,26
67.5,29
67.6,32
67.7,35
67.8,39
67.9,42
68,46
68.1,51
68.2,55
68.3,60
68.4,66
68.5,72
68.6,79
68.7,85
68.8,90
68.9,92
69,94
69.1,96
69.2,98
69.3,95
69.4,92
69.5,89
69.6,87
69.7,85
69.8,85
69.9,85
70,85
70.1,86
70.2,92
70.3,100
70.4,108
70.5,116
70.6,124
70.7,134
70.8,144
70.9,152
71,160
71.1,164
71.2,164
71.3,164
71.4,164
71.5,161
71.6,153
71.7,146
71.8,140
71.9,133
72,128
72.1,123
72.2,119
72.3,116
72.4,113
72.5,112
72.6,111
72.7,111
72.8,112
72.9,110
73,105
73.1,100
73.2,95
73.3,90
73.4,87
73.5,83
73.6,80
73.7,76
73.8,73
73.9,74
74,75
74.1,75
74.2,76
74.3,74
74.4,71
74.5,69
74.6,66
74.7,64
74.8,63
74.9,62
75,61
75.1,60
75.2,61
75.3,63
75.4,64
75.5,65
75.6,65
75.7,66
75.8,66
75.9,67
76,67
76.1,67
76.2,67
76.3,67
76.4,67
76.5,66
76.6,59
76.7,51
76.8,42
76.9,33
77,24
77.1,15
77.2,5
77.3,-6
77.4,-16
77.5,-24
77.6,-32
77.7,-40
77.8,-48
77.9,-57
78,-66
78.1,-76
78.2,-85
78.3,-95
78.4,-107
78.5,-120
78.6,-132
78.7,-145
78.8,-157
78.9,-168
79,-179
79.1,-189
