Length,HU
0.1,139
0.2,139
0.3,140
0.4,142
0.5,144
0.6,146
0.7,148
0.8,150
0.9,152
1,154
1.1,157
1.2,160
1.3,163
1.4,166
1.5,170
1.6,174
1.7,178
1.8,183
1.9,187
2,192
2.1,195
2.2,198
2.3,200
2.4,202
2.5,204
2.6,204
2.7,205
2.8,205
2.9,204
3,202
3.1,200
3.2,197
3.3,195
3.4,192
3.5,188
3.6,184
3.7,179
3.8,175
3.9,171
4,168
4.1,164
4.2,160
4.3,156
4.4,152
4.5,150
4.6,147
4.7,143
4.8,141
4.9,139
5,139
5.1,139
5.2,140
5.3,141
5.4,144
5.5,148
5.6,152
5.7,157
5.8,160
5.9,164
6,168
6.1,170
6.2,173
6.3,175
6.4,177
6.5,179
6.6,181
6.7,182
6.8,183
6.9,184
7,186
7.1,187
7.2,189
7.3,192
7.4,193
7.5,194
7.6,195
7.7,197
7.8,198
7.9,199
8,199
8.1,198
8.2,195
8.3,193
8.4,191
8.5,188
8.6,184
8.7,179
8.8,175
8.9,170
9,167
9.1,165
9.2,164
9.3,163
9.4,163
9.5,164
9.6,164
9.7,165
9.8,165
9.9,165
10,165
10.1,164
10.2,163
10.3,162
10.4,159
10.5,156
10.6,154
10.7,153
10.8,151
10.9,148
11,145
11.1,143
11.2,141
11.3,141
11.4,140
11.5,140
11.6,141
11.7,141
11.8,142
11.9,145
12,148
12.1,151
12.2,154
12.3,158
12.4,162
12.5,166
12.6,170
12.7,173
12.8,173
12.9,173
13,172
13.1,172
13.2,171
13.3,170
13.4,169
13.5,168
13.6,166
13.7,166
13.8,165
13.9,163
14,161
14.1,159
14.2,158
14.3,156
14.4,154
14.5,152
14.6,150
14.7,148
14.8,146
14.9,143
15,140
15.1,137
15.2,135
15.3,134
15.4,133
15.5,132
15.6,132
15.7,131
15.8,131
15.9,133
16,136
16.1,139
16.2,142
16.3,144
16.4,146
16.5,149
16.6,151
16.7,153
16.8,156
16.9,157
17,158
17.1,159
17.2,160
17.3,161
17.4,160
17.5,158
17.6,156
17.7,154
17.8,151
17.9,148
18,144
18.1,140
18.2,136
18.3,133
18.4,131
18.5,130
18.6,128
18.7,127
18.8,129
18.9,132
19,134
19.1,137
19.2,141
19.3,147
19.4,152
19.5,156
19.6,159
19.7,161
19.8,162
19.9,163
20,164
20.1,164
20.2,163
20.3,162
20.4,161
20.5,161
20.6,160
20.7,160
20.8,159
20.9,158
21,156
21.1,155
21.2,155
21.3,154
21.4,153
21.5,151
21.6,150
21.7,148
21.8,146
21.9,146
22,146
22.1,147
22.2,147
22.3,146
22.4,145
22.5,146
22.6,148
22.7,150
22.8,152
22.9,153
23,157
23.1,162
23.2,169
23.3,177
23.4,186
23.5,197
23.6,207
23.7,217
23.8,228
23.9,238
24,247
24.1,256
24.2,265
24.3,272
24.4,278
24.5,283
24.6,288
24.7,292
24.8,293
24.9,294
25,294
25.1,293
25.2,293
25.3,293
25.4,293
25.5,294
25.6,295
25.7,296
