Length,HU
0.1,208
0.2,208
0.3,208
0.4,209
0.5,209
0.6,208
0.7,207
0.8,206
0.9,204
1,202
1.1,199
1.2,198
1.3,197
1.4,197
1.5,197
1.6,198
1.7,198
1.8,199
1.9,201
2,202
2.1,205
2.2,207
2.3,210
2.4,212
2.5,213
2.6,214
2.7,216
2.8,217
2.9,219
3,220
3.1,220
3.2,218
3.3,216
3.4,213
3.5,211
3.6,208
3.7,204
3.8,198
3.9,193
4,187
4.1,182
4.2,178
4.3,174
4.4,171
4.5,169
4.6,167
4.7,167
4.8,166
4.9,166
5,168
5.1,171
5.2,174
5.3,177
5.4,181
5.5,185
5.6,189
5.7,194
5.8,199
5.9,203
6,206
6.1,208
6.2,211
6.3,214
6.4,218
6.5,223
6.6,226
6.7,229
6.8,232
6.9,235
7,238
7.1,242
7.2,245
7.3,246
7.4,248
7.5,249
7.6,250
7.7,250
7.8,251
7.9,247
8,244
8.1,240
8.2,235
8.3,230
8.4,224
8.5,219
8.6,213
8.7,208
8.8,202
8.9,196
9,189
9.1,183
9.2,179
9.3,175
9.4,171
9.5,168
9.6,167
9.7,165
9.8,165
9.9,166
10,167
10.1,169
10.2,172
10.3,175
10.4,179
10.5,182
10.6,186
10.7,190
10.8,192
10.9,194
11,197
11.1,198
11.2,199
11.3,201
11.4,201
11.5,201
11.6,201
11.7,201
11.8,200
11.9,198
12,197
12.1,194
12.2,191
12.3,189
12.4,187
12.5,185
12.6,183
12.7,181
12.8,178
12.9,175
13,172
13.1,168
13.2,165
13.3,161
13.4,158
13.5,154
13.6,149
13.7,145
13.8,140
13.9,135
14,128
14.1,121
14.2,113
14.3,106
14.4,99
14.5,92
14.6,86
14.7,81
14.8,76
14.9,72
15,69
15.1,67
15.2,65
15.3,64
15.4,63
15.5,62
15.6,62
15.7,63
15.8,64
15.9,65
16,66
16.1,67
16.2,68
16.3,68
16.4,69
16.5,69
16.6,68
16.7,68
16.8,68
16.9,68
17,68
17.1,68
17.2,68
17.3,69
17.4,69
17.5,69
17.6,69
17.7,69
17.8,69
17.9,69
18,68
18.1,67
18.2,66
18.3,65
18.4,63
18.5,61
18.6,60
18.7,58
18.8,55
18.9,53
19,51
19.1,50
19.2,50
19.3,50
19.4,50
19.5,50
19.6,51
19.7,53
19.8,56
19.9,59
20,63
20.1,67
20.2,70
20.3,73
20.4,74
20.5,74
20.6,75
20.7,75
20.8,75
20.9,75
21,74
21.1,72
21.2,69
21.3,67
21.4,65
21.5,63
21.6,62
21.7,59
21.8,57
21.9,55
22,54
22.1,52
22.2,52
22.3,52
22.4,53
22.5,55
22.6,56
22.7,58
22.8,59
22.9,60
23,61
23.1,62
23.2,62
23.3,63
23.4,62
23.5,61
23.6,60
23.7,58
23.8,55
23.9,53
24,50
24.1,46
24.2,43
24.3,40
24.4,38
24.5,35
24.6,33
24.7,32
24.8,30
24.9,30
25,31
25.1,32
25.2,33
25.3,34
25.4,36
25.5,38
25.6,42
25.7,46
25.8,50
25.9,54
26,59
26.1,64
26.2,68
26.3,71
26.4,75
26.5,80
26.6,84
26.7,91
26.8,97
26.9,103
27,109
27.1,116
27.2,123
27.3,133
27.4,145
27.5,158
27.6,171
27.7,185
27.8,199
27.9,213
28,230
28.1,246
28.2,262
28.3,278
28.4,293
28.5,307
28.6,321
28.7,336
28.8,350
28.9,363
29,374
29.1,385
29.2,395
29.3,404
29.4,413
29.5,422
29.6,430
29.7,438
29.8,446
29.9,452
30,457
30.1,462
30.2,468
30.3,473
30.4,480
30.5,486
30.6,491
30.7,493
30.8,495
30.9,498
31,501
31.1,504
31.2,507
31.3,508
31.4,508
31.5,508
31.6,509
31.7,510
31.8,511
31.9,511
32,510
32.1,509
32.2,508
32.3,507
32.4,507
32.5,506
32.6,506
32.7,505
32.8,505
32.9,504
33,504
33.1,503
33.2,503
33.3,504
33.4,504
33.5,504
33.6,504
33.7,504
33.8,503
33.9,505
34,507
34.1,509
34.2,510
34.3,512
34.4,513
34.5,513
34.6,513
34.7,512
34.8,512
34.9,510
35,509
35.1,507
35.2,503
35.3,500
35.4,496
35.5,493
35.6,489
35.7,486
35.8,481
35.9,475
36,470
36.1,465
36.2,460
36.3,455
36.4,451
36.5,448
36.6,446
36.7,444
36.8,441
36.9,439
37,437
37.1,437
37.2,437
37.3,438
37.4,438
37.5,439
37.6,439
37.7,441
37.8,444
37.9,447
38,449
38.1,452
38.2,454
38.3,456
38.4,457
38.5,458
38.6,459
38.7,459
38.8,460
38.9,460
39,459
39.1,458
39.2,458
39.3,457
39.4,457
39.5,458
39.6,458
39.7,458
39.8,459
39.9,459
40,460
40.1,461
40.2,463
40.3,465
40.4,468
40.5,471
40.6,473
40.7,476
40.8,479
40.9,482
41,487
41.1,491
41.2,495
41.3,499
41.4,503
41.5,507
41.6,511
41.7,515
41.8,518
41.9,521
42,524
42.1,527
42.2,529
42.3,531
42.4,533
42.5,534
42.6,535
42.7,535
42.8,535
42.9,534
43,534
43.1,533
43.2,533
43.3,532
43.4,531
43.5,529
43.6,528
43.7,527
43.8,526
43.9,525
44,524
44.1,523
44.2,520
44.3,519
44.4,517
44.5,516
44.6,515
44.7,514
44.8,515
44.9,515
45,516
45.1,517
45.2,518
45.3,520
45.4,523
45.5,526
45.6,529
45.7,533
45.8,537
45.9,541
46,545
46.1,550
46.2,553
46.3,556
46.4,560
46.5,563
46.6,567
46.7,569
46.8,569
46.9,570
47,571
47.1,572
47.2,573
47.3,573
47.4,573
47.5,573
47.6,574
47.7,574
47.8,575
47.9,576
48,576
48.1,576
48.2,576
48.3,577
48.4,578
48.5,579
48.6,581
48.7,582
48.8,583
48.9,584
49,585
49.1,586
49.2,588
49.3,590
49.4,590
49.5,591
49.6,591
49.7,591
49.8,592
49.9,592
50,591
50.1,590
50.2,588
50.3,586
50.4,585
50.5,583
50.6,581
50.7,580
50.8,579
50.9,578
51,576
51.1,575
51.2,572
51.3,570
51.4,569
51.5,567
51.6,566
51.7,564
51.8,563
51.9,561
52,559
52.1,557
52.2,556
52.3,554
52.4,552
52.5,549
52.6,546
52.7,542
52.8,539
52.9,535
53,531
53.1,528
53.2,527
53.3,524
53.4,522
53.5,520
53.6,518
53.7,516
53.8,515
53.9,513
54,510
54.1,507
54.2,504
54.3,502
54.4,499
54.5,497
54.6,494
54.7,491
54.8,488
54.9,484
55,482
55.1,479
55.2,476
55.3,474
55.4,472
55.5,470
55.6,468
55.7,466
55.8,465
55.9,467
56,468
56.1,469
56.2,471
56.3,472
56.4,474
56.5,477
56.6,480
56.7,484
56.8,487
56.9,490
57,492
57.1,494
57.2,496
57.3,498
57.4,499
57.5,499
57.6,500
57.7,501
57.8,502
57.9,502
58,503
58.1,503
58.2,504
58.3,505
58.4,507
58.5,509
58.6,511
58.7,512
58.8,513
58.9,514
