Length,HU
0.1,110
0.2,84
0.3,59
0.4,53
0.5,49
0.6,47
0.7,48
0.8,49
0.9,56
1,60
1.1,62
1.2,61
1.3,62
1.4,63
1.5,63
1.6,73
1.7,107
1.8,144
1.9,186
2,230
2.1,248
2.2,265
2.3,279
2.4,289
2.5,302
2.6,315
2.7,324
2.8,331
2.9,322
3,307
3.1,294
3.2,285
3.3,272
3.4,243
3.5,215
3.6,186
3.7,161
3.8,176
3.9,189
4,198
4.1,202
4.2,203
4.3,206
4.4,210
4.5,216
4.6,214
4.7,209
4.8,206
4.9,206
5,209
5.1,212
5.2,215
5.3,218
5.4,219
5.5,199
5.6,179
5.7,164
5.8,153
5.9,140
6,130
6.1,125
6.2,124
6.3,130
6.4,133
6.5,131
6.6,124
6.7,117
6.8,111
6.9,101
7,87
7.1,74
7.2,75
7.3,77
7.4,80
7.5,84
7.6,109
7.7,136
7.8,164
7.9,192
8,223
8.1,254
8.2,284
8.3,311
8.4,328
8.5,333
8.6,336
8.7,338
8.8,338
8.9,329
9,318
9.1,305
9.2,291
9.3,255
9.4,216
9.5,173
9.6,128
9.7,102
9.8,84
9.9,63
10,41
10.1,35
10.2,58
10.3,82
10.4,108
10.5,130
10.6,137
10.7,146
10.8,158
10.9,173
11,158
11.1,142
11.2,126
11.3,109
11.4,91
11.5,75
11.6,60
11.7,47
11.8,42
11.9,45
12,49
12.1,54
12.2,61
12.3,71
12.4,79
12.5,85
12.6,88
12.7,79
12.8,68
12.9,56
13,42
13.1,22
13.2,4
13.3,-11
13.4,-23
13.5,-12
13.6,15
13.7,41
13.8,68
13.9,94
14,122
14.1,147
14.2,172
14.3,193
14.4,186
14.5,180
14.6,176
14.7,173
14.8,166
14.9,159
15,151
15.1,143
15.2,142
15.3,147
15.4,152
15.5,157
15.6,156
15.7,145
15.8,135
15.9,124
16,114
16.1,110
16.2,109
16.3,112
16.4,116
16.5,121
16.6,128
16.7,138
16.8,150
16.9,168
17,190
17.1,214
17.2,240
17.3,257
17.4,252
17.5,248
17.6,244
17.7,234
17.8,187
17.9,134
18,81
18.1,30
18.2,10
18.3,-6
18.4,-24
18.5,-42
18.6,-33
18.7,-9
18.8,16
18.9,41
19,65
19.1,88
19.2,110
19.3,132
19.4,151
19.5,158
19.6,165
19.7,172
19.8,179
19.9,180
20,181
20.1,182
20.2,182
20.3,181
20.4,178
20.5,175
20.6,171
20.7,164
20.8,151
20.9,138
21,123
21.1,106
21.2,82
21.3,55
21.4,26
21.5,-1
21.6,0
21.7,-1
21.8,-3
21.9,-6
22,19
22.1,57
22.2,97
22.3,137
22.4,174
22.5,209
22.6,243
22.7,275
22.8,292
22.9,276
23,259
23.1,244
23.2,229
23.3,195
23.4,164
23.5,135
23.6,109
23.7,95
23.8,86
23.9,76
24,67
24.1,67
24.2,74
24.3,81
24.4,87
24.5,91
24.6,93
24.7,93
24.8,92
24.9,90
25,87
25.1,86
25.2,86
25.3,88
25.4,93
25.5,99
25.6,106
25.7,117
25.8,123
25.9,125
26,127
26.1,127
26.2,128
26.3,132
26.4,134
26.5,135
26.6,137
26.7,144
26.8,153
26.9,164
27,177
27.1,181
27.2,178
27.3,174
27.4,169
27.5,169
27.6,173
27.7,178
27.8,183
27.9,195
28,220
28.1,246
28.2,274
28.3,303
28.4,333
28.5,362
28.6,391
28.7,418
28.8,433
28.9,450
29,468
29.1,488
29.2,505
29.3,524
29.4,545
29.5,570
29.6,582
29.7,568
29.8,553
29.9,537
30,518
30.1,486
30.2,450
30.3,415
30.4,379
30.5,373
30.6,370
30.7,365
30.8,358
30.9,361
31,367
31.1,371
31.2,372
31.3,367
31.4,357
31.5,348
31.6,339
31.7,335
31.8,351
31.9,368
32,384
32.1,399
32.2,377
32.3,353
32.4,330
32.5,307
32.6,278
32.7,247
32.8,214
32.9,181
33,170
33.1,188
33.2,208
33.3,230
33.4,253
33.5,268
33.6,284
33.7,299
33.8,316
33.9,305
34,295
34.1,286
34.2,278
34.3,268
34.4,256
34.5,245
34.6,232
34.7,228
34.8,230
34.9,234
35,241
35.1,251
35.2,274
35.3,293
35.4,311
35.5,325
35.6,336
35.7,347
35.8,357
35.9,367
36,370
36.1,372
36.2,374
36.3,377
36.4,377
36.5,371
36.6,362
36.7,351
36.8,341
36.9,341
37,340
37.1,340
37.2,339
37.3,341
37.4,346
37.5,354
37.6,365
37.7,364
37.8,361
37.9,359
38,359
38.1,350
38.2,334
38.3,318
38.4,303
38.5,292
38.6,292
38.7,292
38.8,291
38.9,293
39,319
39.1,342
39.2,362
39.3,380
39.4,394
39.5,407
39.6,415
39.7,420
39.8,413
39.9,399
40,384
40.1,368
40.2,355
40.3,348
40.4,342
40.5,337
40.6,335
40.7,337
40.8,338
40.9,339
41,339
41.1,342
41.2,349
41.3,356
41.4,364
41.5,374
41.6,384
41.7,393
41.8,402
41.9,402
42,390
42.1,377
42.2,363
42.3,348
42.4,321
42.5,295
42.6,270
42.7,247
42.8,216
42.9,185
43,155
43.1,125
43.2,123
43.3,134
43.4,143
43.5,150
43.6,162
43.7,183
43.8,204
43.9,224
44,240
44.1,246
44.2,252
44.3,257
44.4,262
44.5,253
44.6,244
44.7,235
44.8,228
44.9,225
45,227
45.1,230
45.2,236
45.3,252
45.4,278
45.5,304
45.6,330
45.7,353
45.8,361
45.9,364
46,364
46.1,362
46.2,345
46.3,327
46.4,308
46.5,288
46.6,268
46.7,250
46.8,234
46.9,218
47,193
47.1,159
47.2,128
47.3,99
47.4,83
47.5,87
47.6,90
47.7,94
47.8,97
47.9,114
48,131
48.1,150
48.2,169
48.3,197
48.4,229
48.5,262
48.6,297
48.7,329
48.8,358
48.9,382
49,403
49.1,423
49.2,439
49.3,454
49.4,468
49.5,479
49.6,469
49.7,454
49.8,434
49.9,409
50,376
50.1,340
50.2,300
50.3,256
50.4,250
50.5,286
50.6,319
50.7,350
50.8,366
50.9,359
51,349
51.1,337
51.2,324
51.3,321
51.4,320
51.5,322
51.6,325
51.7,341
51.8,359
51.9,378
52,394
52.1,401
52.2,405
52.3,409
52.4,415
52.5,422
52.6,429
52.7,436
52.8,443
52.9,447
53,435
53.1,425
53.2,416
53.3,408
53.4,393
53.5,378
53.6,364
53.7,350
53.8,343
53.9,335
54,325
54.1,312
54.2,291
54.3,264
54.4,238
54.5,214
54.6,193
54.7,178
54.8,161
54.9,143
55,124
55.1,120
55.2,117
55.3,111
55.4,103
55.5,100
55.6,96
55.7,89
55.8,79
55.9,72
56,72
56.1,70
56.2,66
56.3,63
56.4,78
56.5,94
56.6,113
56.7,141
56.8,179
56.9,213
57,243
57.1,269
57.2,274
57.3,270
57.4,264
57.5,256
57.6,248
57.7,244
57.8,243
57.9,244
58,249
58.1,256
58.2,258
58.3,261
58.4,266
58.5,260
58.6,255
58.7,250
58.8,245
58.9,238
59,230
59.1,222
59.2,215
59.3,210
59.4,207
59.5,205
59.6,202
59.7,191
59.8,159
59.9,130
60,103
60.1,78
60.2,61
60.3,47
60.4,37
60.5,30
60.6,34
