Length,HU
0.1,144
0.2,148
0.3,150
0.4,150
0.5,151
0.6,151
0.7,151
0.8,150
0.9,149
1,148
1.1,148
1.2,149
1.3,151
1.4,153
1.5,154
1.6,152
1.7,150
1.8,146
1.9,142
2,138
2.1,134
2.2,132
2.3,131
2.4,131
2.5,128
2.6,123
2.7,121
2.8,122
2.9,121
3,120
3.1,118
3.2,114
3.3,109
3.4,114
3.5,120
3.6,126
3.7,134
3.8,140
3.9,145
4,148
4.1,151
4.2,149
4.3,139
4.4,127
4.5,115
4.6,107
4.7,106
4.8,105
4.9,106
5,109
5.1,116
5.2,126
5.3,136
5.4,145
5.5,154
5.6,162
5.7,167
5.8,168
5.9,168
6,171
6.1,174
6.2,177
6.3,181
6.4,185
6.5,192
6.6,199
6.7,207
6.8,214
6.9,219
7,219
7.1,215
7.2,209
7.3,204
7.4,199
7.5,194
7.6,188
7.7,180
7.8,174
7.9,169
8,165
8.1,160
8.2,154
8.3,148
8.4,143
8.5,140
8.6,139
8.7,140
8.8,142
8.9,146
9,151
9.1,156
9.2,162
9.3,168
9.4,171
9.5,173
9.6,174
9.7,176
9.8,177
9.9,176
10,175
10.1,169
10.2,163
10.3,160
10.4,157
10.5,153
10.6,150
10.7,146
10.8,142
10.9,137
11,132
11.1,125
11.2,118
11.3,118
11.4,120
11.5,123
11.6,126
11.7,128
11.8,130
11.9,133
12,138
12.1,143
12.2,148
12.3,154
12.4,159
12.5,162
12.6,160
12.7,158
12.8,154
12.9,150
13,145
13.1,141
13.2,139
13.3,137
13.4,135
13.5,133
13.6,131
13.7,129
13.8,129
13.9,131
14,135
14.1,140
14.2,147
14.3,153
14.4,158
14.5,162
14.6,164
14.7,163
14.8,160
14.9,156
15,148
15.1,140
15.2,132
15.3,124
15.4,116
15.5,111
15.6,110
15.7,111
15.8,112
15.9,114
16,114
16.1,114
16.2,110
16.3,102
16.4,94
16.5,87
16.6,79
16.7,72
16.8,70
16.9,72
17,77
17.1,84
17.2,97
17.3,112
17.4,126
17.5,137
17.6,144
17.7,147
17.8,149
17.9,150
18,149
18.1,144
18.2,139
18.3,134
18.4,129
18.5,126
18.6,123
18.7,125
18.8,128
18.9,131
19,133
19.1,134
19.2,135
19.3,134
19.4,135
19.5,138
19.6,141
19.7,144
19.8,148
19.9,152
20,155
20.1,158
20.2,158
20.3,153
20.4,148
20.5,143
20.6,136
20.7,124
20.8,112
20.9,101
21,90
21.1,88
21.2,89
21.3,89
21.4,89
21.5,91
21.6,94
21.7,96
21.8,98
21.9,102
22,107
22.1,112
22.2,116
22.3,120
22.4,121
22.5,122
22.6,123
22.7,126
22.8,127
22.9,128
23,127
23.1,127
23.2,128
23.3,129
23.4,131
23.5,133
23.6,130
23.7,124
23.8,117
23.9,108
24,99
24.1,88
24.2,81
24.3,76
24.4,72
24.5,71
24.6,73
24.7,77
24.8,84
24.9,93
25,98
25.1,101
25.2,102
25.3,101
25.4,99
25.5,97
25.6,94
25.7,91
25.8,90
25.9,93
26,97
26.1,100
26.2,103
26.3,104
26.4,106
26.5,108
26.6,111
26.7,115
26.8,119
26.9,124
27,130
27.1,138
27.2,146
27.3,154
27.4,161
27.5,167
27.6,171
27.7,174
27.8,174
27.9,167
28,161
28.1,154
28.2,148
28.3,142
28.4,136
28.5,134
28.6,132
28.7,131
28.8,131
28.9,133
29,136
29.1,141
29.2,147
29.3,150
29.4,152
29.5,153
29.6,153
29.7,153
29.8,153
29.9,153
30,153
30.1,153
30.2,152
30.3,150
30.4,148
30.5,144
30.6,140
30.7,135
30.8,128
30.9,120
31,113
31.1,110
31.2,107
31.3,105
31.4,104
31.5,105
31.6,110
31.7,115
31.8,119
31.9,125
32,132
32.1,139
32.2,144
32.3,147
32.4,150
32.5,154
32.6,157
32.7,158
32.8,156
32.9,153
33,150
33.1,146
33.2,140
33.3,132
33.4,126
33.5,122
33.6,119
33.7,117
33.8,116
33.9,114
34,114
34.1,118
34.2,121
34.3,124
34.4,125
34.5,123
34.6,118
34.7,111
34.8,106
34.9,101
35,99
35.1,98
35.2,100
35.3,107
35.4,118
35.5,130
35.6,141
35.7,153
35.8,165
35.9,176
36,186
36.1,195
36.2,198
36.3,197
36.4,195
36.5,187
36.6,177
36.7,164
36.8,151
36.9,137
37,124
37.1,127
37.2,130
37.3,133
37.4,136
37.5,136
37.6,135
37.7,137
37.8,138
37.9,137
38,136
38.1,134
38.2,131
38.3,129
38.4,130
38.5,132
38.6,133
38.7,134
38.8,136
38.9,138
39,139
39.1,138
39.2,136
39.3,132
39.4,128
39.5,123
39.6,120
39.7,121
39.8,123
39.9,126
40,130
40.1,132
40.2,136
40.3,139
40.4,141
40.5,143
40.6,145
40.7,147
40.8,148
40.9,152
41,159
41.1,167
41.2,175
41.3,184
41.4,180
41.5,175
41.6,169
41.7,163
41.8,155
41.9,145
42,135
42.1,126
42.2,120
42.3,119
42.4,119
42.5,120
42.6,127
42.7,138
42.8,149
42.9,160
43,170
43.1,178
43.2,179
43.3,177
43.4,173
43.5,165
43.6,154
43.7,143
43.8,132
43.9,122
44,119
44.1,119
44.2,119
44.3,121
44.4,122
44.5,121
44.6,119
44.7,117
44.8,113
44.9,104
45,98
45.1,94
45.2,93
45.3,93
45.4,95
45.5,99
45.6,106
45.7,116
45.8,127
45.9,138
46,150
46.1,159
46.2,164
46.3,167
46.4,171
46.5,174
46.6,175
46.7,176
46.8,176
46.9,175
47,178
47.1,181
47.2,183
47.3,184
47.4,183
47.5,182
47.6,181
47.7,180
47.8,179
47.9,175
48,170
48.1,167
48.2,167
48.3,172
48.4,178
48.5,185
48.6,191
48.7,190
48.8,182
48.9,173
49,164
49.1,155
49.2,155
49.3,155
49.4,153
49.5,151
49.6,150
49.7,149
49.8,148
49.9,148
50,149
50.1,151
50.2,155
50.3,159
50.4,163
50.5,165
50.6,167
50.7,168
50.8,168
50.9,163
51,155
51.1,148
51.2,146
51.3,147
51.4,150
51.5,153
51.6,157
51.7,161
51.8,164
51.9,166
52,167
52.1,169
52.2,174
52.3,182
52.4,184
52.5,185
52.6,184
52.7,180
52.8,174
52.9,167
53,159
53.1,147
53.2,136
53.3,126
53.4,117
53.5,113
53.6,113
53.7,117
53.8,121
53.9,127
54,135
54.1,142
54.2,147
54.3,150
54.4,152
54.5,153
54.6,155
54.7,157
54.8,157
54.9,157
55,156
55.1,155
55.2,150
55.3,143
55.4,134
55.5,125
55.6,117
55.7,116
55.8,115
55.9,115
56,116
56.1,125
56.2,134
56.3,141
56.4,147
56.5,144
56.6,137
56.7,130
56.8,123
56.9,117
57,115
57.1,115
57.2,115
57.3,119
