Length,HU
0.1,244
0.2,240
0.3,236
0.4,231
0.5,230
0.6,229
0.7,229
0.8,228
0.9,228
1,229
1.1,228
1.2,227
1.3,225
1.4,224
1.5,223
1.6,222
1.7,220
1.8,221
1.9,222
2,224
2.1,226
2.2,228
2.3,231
2.4,234
2.5,237
2.6,241
2.7,245
2.8,248
2.9,251
3,253
3.1,253
3.2,252
3.3,251
3.4,249
3.5,247
3.6,243
3.7,241
3.8,239
3.9,237
4,233
4.1,229
4.2,226
4.3,223
4.4,221
4.5,220
4.6,220
4.7,219
4.8,219
4.9,220
5,221
5.1,221
5.2,222
5.3,224
5.4,226
5.5,229
5.6,233
5.7,236
5.8,241
5.9,245
6,250
6.1,255
6.2,258
6.3,260
6.4,262
6.5,264
6.6,265
6.7,265
6.8,263
6.9,260
7,258
7.1,256
7.2,254
7.3,253
7.4,251
7.5,251
7.6,250
7.7,249
7.8,249
7.9,249
8,248
8.1,246
8.2,245
8.3,243
8.4,240
8.5,237
8.6,234
8.7,231
8.8,230
8.9,231
9,233
9.1,236
9.2,239
9.3,243
9.4,247
9.5,250
9.6,252
9.7,251
9.8,249
9.9,246
10,242
10.1,239
10.2,236
10.3,234
10.4,232
10.5,231
10.6,231
10.7,231
10.8,231
10.9,231
11,229
11.1,227
11.2,223
11.3,219
11.4,216
11.5,215
11.6,214
11.7,213
11.8,210
11.9,212
12,214
12.1,217
12.2,220
12.3,223
12.4,225
12.5,227
12.6,229
12.7,230
12.8,231
12.9,233
13,233
13.1,235
13.2,235
13.3,235
13.4,235
13.5,235
13.6,234
13.7,229
13.8,223
13.9,219
14,215
14.1,214
14.2,214
14.3,214
14.4,213
14.5,215
14.6,217
14.7,219
14.8,220
14.9,220
15,221
15.1,222
15.2,222
15.3,225
15.4,227
15.5,231
15.6,235
15.7,239
15.8,244
15.9,248
16,252
16.1,256
16.2,259
16.3,260
16.4,260
16.5,261
16.6,260
16.7,260
16.8,259
16.9,257
17,254
17.1,251
17.2,250
17.3,249
17.4,248
17.5,246
17.6,242
17.7,238
17.8,234
17.9,230
18,226
18.1,224
18.2,223
18.3,222
18.4,224
18.5,229
18.6,235
18.7,240
18.8,246
18.9,248
19,248
19.1,246
19.2,242
19.3,237
19.4,229
19.5,223
19.6,217
19.7,211
19.8,211
19.9,215
20,219
20.1,224
20.2,229
20.3,233
20.4,237
20.5,240
20.6,243
20.7,237
20.8,229
20.9,222
21,215
21.1,206
21.2,196
21.3,187
21.4,176
21.5,167
21.6,157
21.7,147
21.8,137
21.9,126
22,118
22.1,111
22.2,104
22.3,99
22.4,96
22.5,96
22.6,96
22.7,97
22.8,97
22.9,97
23,97
23.1,97
23.2,97
23.3,95
23.4,93
23.5,92
23.6,90
23.7,89
23.8,90
23.9,91
24,92
24.1,93
24.2,94
24.3,95
24.4,95
24.5,95
24.6,92
24.7,89
24.8,86
24.9,84
25,82
25.1,82
25.2,82
25.3,84
25.4,85
25.5,87
25.6,89
25.7,92
25.8,95
25.9,97
26,95
26.1,92
26.2,89
26.3,87
26.4,82
26.5,78
26.6,74
26.7,71
26.8,68
26.9,68
27,68
27.1,69
27.2,72
27.3,76
27.4,81
27.5,84
27.6,88
27.7,90
27.8,91
27.9,91
28,90
28.1,90
28.2,91
28.3,92
28.4,92
28.5,94
28.6,99
28.7,104
28.8,110
28.9,115
29,119
29.1,122
29.2,128
29.3,134
29.4,140
29.5,146
29.6,151
29.7,156
29.8,161
29.9,168
30,174
30.1,180
30.2,185
30.3,189
30.4,192
30.5,194
30.6,195
30.7,197
30.8,201
30.9,205
31,210
31.1,216
31.2,222
31.3,228
31.4,235
31.5,241
31.6,244
31.7,242
31.8,241
31.9,239
32,237
32.1,236
32.2,237
32.3,237
32.4,236
32.5,238
32.6,243
32.7,247
32.8,252
32.9,257
33,260
33.1,262
33.2,264
33.3,266
33.4,265
33.5,262
33.6,261
33.7,261
33.8,259
33.9,254
34,251
34.1,248
34.2,246
34.3,247
34.4,248
34.5,249
34.6,249
34.7,248
34.8,246
34.9,245
35,243
35.1,241
35.2,236
35.3,232
35.4,227
35.5,223
35.6,219
35.7,217
35.8,216
35.9,215
36,215
36.1,216
36.2,216
36.3,216
36.4,217
36.5,216
36.6,215
36.7,213
36.8,211
36.9,210
37,210
37.1,209
37.2,209
37.3,209
37.4,211
37.5,212
37.6,213
37.7,214
37.8,217
37.9,219
38,222
38.1,224
38.2,226
38.3,228
38.4,230
38.5,233
38.6,236
38.7,240
38.8,243
38.9,248
39,253
39.1,257
39.2,258
39.3,257
39.4,255
39.5,252
39.6,250
39.7,248
39.8,246
39.9,244
40,239
40.1,234
40.2,229
40.3,224
40.4,217
40.5,210
40.6,203
40.7,196
40.8,191
40.9,188
41,185
41.1,182
41.2,179
41.3,177
41.4,176
41.5,175
41.6,175
41.7,175
41.8,174
41.9,174
42,174
42.1,174
42.2,177
42.3,180
42.4,184
42.5,188
42.6,192
42.7,197
42.8,201
42.9,205
43,208
43.1,209
43.2,210
43.3,211
43.4,212
43.5,215
43.6,220
43.7,226
43.8,232
43.9,239
44,247
44.1,254
44.2,261
44.3,268
44.4,271
44.5,273
44.6,274
44.7,274
44.8,272
44.9,270
45,267
45.1,265
45.2,263
45.3,263
45.4,262
45.5,262
45.6,263
45.7,263
45.8,264
45.9,265
46,266
46.1,267
46.2,268
46.3,268
46.4,269
46.5,269
46.6,272
46.7,276
46.8,280
46.9,284
47,286
47.1,288
47.2,290
47.3,291
47.4,291
47.5,288
47.6,285
47.7,283
47.8,281
47.9,281
48,281
48.1,281
48.2,282
48.3,285
48.4,291
48.5,294
48.6,296
48.7,298
48.8,298
48.9,298
49,298
49.1,298
49.2,296
49.3,295
49.4,294
49.5,293
49.6,292
49.7,293
49.8,293
49.9,292
50,291
50.1,292
50.2,293
50.3,293
50.4,294
50.5,296
50.6,301
50.7,306
50.8,313
50.9,319
51,323
51.1,327
51.2,331
51.3,333
51.4,331
51.5,328
51.6,325
51.7,322
51.8,319
51.9,316
52,314
52.1,312
52.2,310
52.3,307
52.4,303
52.5,300
52.6,296
52.7,292
52.8,290
52.9,288
53,287
53.1,287
53.2,293
53.3,299
53.4,305
53.5,311
53.6,315
53.7,318
53.8,321
53.9,323
54,325
54.1,326
54.2,328
54.3,329
54.4,331
54.5,332
54.6,333
54.7,333
54.8,331
54.9,328
55,324
55.1,318
55.2,312
55.3,306
55.4,302
55.5,298
55.6,295
55.7,292
55.8,286
55.9,281
56,276
56.1,272
56.2,267
56.3,263
56.4,260
56.5,258
56.6,256
56.7,256
56.8,256
56.9,256
57,255
57.1,255
57.2,255
57.3,255
57.4,254
57.5,253
57.6,251
57.7,249
57.8,246
57.9,242
58,237
58.1,233
58.2,228
58.3,223
58.4,218
58.5,212
58.6,208
58.7,204
58.8,200
58.9,200
59,200
59.1,200
59.2,201
59.3,201
59.4,202
59.5,202
59.6,204
59.7,205
59.8,208
59.9,210
60,213
60.1,215
60.2,216
60.3,218
60.4,219
60.5,221
60.6,224
60.7,227
60.8,232
60.9,235
61,237
61.1,237
61.2,236
61.3,234
61.4,232
61.5,227
61.6,222
61.7,219
61.8,217
61.9,215
62,214
62.1,212
62.2,211
62.3,210
62.4,206
62.5,202
62.6,199
62.7,196
62.8,196
62.9,198
63,200
63.1,204
63.2,210
63.3,216
63.4,221
63.5,225
63.6,228
63.7,226
63.8,223
63.9,219
64,214
64.1,210
64.2,205
64.3,202
64.4,198
64.5,196
64.6,196
64.7,198
64.8,200
64.9,201
65,203
65.1,205
65.2,207
65.3,209
65.4,210
65.5,207
65.6,202
65.7,196
65.8,190
65.9,181
66,171
66.1,161
66.2,152
66.3,143
66.4,135
66.5,129
66.6,124
66.7,120
66.8,118
66.9,116
67,114
67.1,112
67.2,111
67.3,109
67.4,108
67.5,106
67.6,105
67.7,104
67.8,103
67.9,102
68,100
68.1,99
68.2,98
68.3,97
68.4,96
68.5,96
68.6,98
68.7,99
68.8,100
68.9,101
69,102
69.1,102
69.2,100
69.3,98
69.4,94
69.5,88
69.6,82
69.7,76
69.8,69
69.9,63
70,58
70.1,53
70.2,50
70.3,52
70.4,55
70.5,58
70.6,62
70.7,66
70.8,69
70.9,73
71,74
71.1,74
71.2,71
71.3,69
71.4,66
71.5,62
71.6,58
71.7,54
71.8,52
71.9,49
72,47
72.1,43
72.2,39
72.3,36
72.4,32
72.5,31
72.6,32
72.7,34
72.8,36
72.9,40
73,46
73.1,52
73.2,58
73.3,62
73.4,64
73.5,66
73.6,68
73.7,69
73.8,71
73.9,74
74,76
74.1,79
74.2,80
74.3,80
74.4,80
74.5,80
74.6,80
74.7,79
74.8,78
74.9,77
75,77
75.1,77
75.2,77
75.3,78
75.4,79
75.5,81
75.6,83
75.7,84
75.8,85
75.9,86
76,84
76.1,83
76.2,82
76.3,80
76.4,75
76.5,69
76.6,65
76.7,61
76.8,58
76.9,56
77,54
77.1,54
77.2,53
77.3,53
77.4,54
77.5,55
77.6,56
77.7,57
77.8,57
77.9,56
78,55
78.1,54
78.2,53
78.3,52
78.4,50
78.5,49
78.6,49
78.7,52
78.8,55
78.9,57
79,60
79.1,62
79.2,63
79.3,65
79.4,66
79.5,67
79.6,69
79.7,71
79.8,72
79.9,73
80,73
80.1,73
80.2,74
80.3,74
80.4,72
80.5,69
80.6,66
80.7,63
80.8,61
80.9,59
81,58
81.1,56
81.2,54
81.3,51
81.4,49
81.5,48
81.6,48
81.7,41
81.8,34
81.9,28
82,23
82.1,14
82.2,2
82.3,-11
82.4,-24
82.5,-38
82.6,-59
