Length,HU
0.1,150
0.2,150
0.3,149
0.4,142
0.5,134
0.6,125
0.7,115
0.8,105
0.9,96
1,91
1.1,86
1.2,81
1.3,76
1.4,71
1.5,71
1.6,71
1.7,70
1.8,67
1.9,64
2,63
2.1,68
2.2,74
2.3,80
2.4,88
2.5,97
2.6,105
2.7,114
2.8,123
2.9,132
3,141
3.1,143
3.2,139
3.3,137
3.4,137
3.5,138
3.6,141
3.7,142
3.8,144
3.9,148
4,153
4.1,161
4.2,169
4.3,169
4.4,168
4.5,166
4.6,163
4.7,154
4.8,144
4.9,135
5,126
5.1,117
5.2,110
5.3,104
5.4,104
5.5,105
5.6,106
5.7,110
5.8,113
5.9,117
6,121
6.1,123
6.2,125
6.3,127
6.4,131
6.5,131
6.6,130
6.7,130
6.8,130
6.9,131
7,134
7.1,137
7.2,139
7.3,143
7.4,147
7.5,153
7.6,156
7.7,159
7.8,159
7.9,160
8,162
8.1,164
8.2,165
8.3,160
8.4,156
8.5,153
8.6,151
8.7,147
8.8,142
8.9,137
9,133
9.1,129
9.2,124
9.3,114
9.4,103
9.5,93
9.6,83
9.7,73
9.8,66
9.9,61
10,57
10.1,54
10.2,51
10.3,51
10.4,57
10.5,63
10.6,69
10.7,75
10.8,81
10.9,82
11,82
11.1,80
11.2,78
11.3,75
11.4,73
11.5,74
11.6,75
11.7,75
11.8,76
11.9,76
12,75
12.1,75
12.2,73
12.3,71
12.4,69
12.5,68
12.6,68
12.7,68
12.8,68
12.9,70
13,76
13.1,82
13.2,89
13.3,94
13.4,97
13.5,99
13.6,101
13.7,103
13.8,105
13.9,105
14,106
14.1,106
14.2,107
14.3,109
14.4,112
14.5,115
14.6,118
14.7,122
14.8,125
14.9,129
15,133
15.1,138
15.2,144
15.3,150
15.4,152
15.5,154
15.6,155
15.7,156
15.8,157
15.9,158
16,158
16.1,155
16.2,152
16.3,148
16.4,144
16.5,136
16.6,125
16.7,113
16.8,101
16.9,87
17,73
17.1,67
17.2,62
17.3,57
17.4,51
17.5,46
17.6,51
17.7,58
17.8,64
17.9,69
18,74
18.1,77
18.2,78
18.3,77
18.4,76
18.5,74
18.6,72
18.7,76
18.8,82
18.9,87
19,93
19.1,98
19.2,102
19.3,105
19.4,107
19.5,109
19.6,110
19.7,115
19.8,119
19.9,123
20,127
20.1,130
20.2,133
20.3,133
20.4,131
20.5,127
20.6,123
20.7,119
20.8,115
20.9,112
21,112
21.1,112
21.2,114
21.3,117
21.4,120
21.5,120
21.6,119
21.7,117
21.8,114
21.9,111
22,108
22.1,107
22.2,105
22.3,102
22.4,99
22.5,96
22.6,95
22.7,95
22.8,96
22.9,95
23,93
23.1,92
23.2,95
23.3,99
23.4,103
23.5,106
23.6,108
23.7,112
23.8,118
23.9,125
24,132
24.1,137
24.2,142
24.3,147
24.4,149
24.5,150
24.6,150
24.7,149
24.8,147
24.9,144
25,142
25.1,141
25.2,140
25.3,140
25.4,145
25.5,151
25.6,158
25.7,165
25.8,173
25.9,178
26,179
26.1,179
26.2,178
26.3,176
26.4,172
26.5,167
26.6,162
26.7,159
26.8,157
26.9,157
27,158
27.1,161
27.2,164
27.3,166
27.4,167
27.5,166
27.6,164
27.7,164
27.8,165
27.9,167
28,175
28.1,184
28.2,191
28.3,198
28.4,206
28.5,210
28.6,213
28.7,210
28.8,203
28.9,194
29,180
29.1,166
29.2,152
29.3,142
29.4,134
29.5,128
29.6,123
29.7,118
29.8,114
29.9,112
30,111
30.1,108
30.2,105
30.3,102
30.4,104
30.5,107
30.6,110
30.7,111
30.8,111
30.9,110
31,110
31.1,118
31.2,126
31.3,135
31.4,145
31.5,155
31.6,169
31.7,182
31.8,193
31.9,202
32,209
32.1,207
32.2,203
32.3,199
32.4,196
32.5,192
32.6,195
32.7,204
32.8,214
32.9,226
33,239
33.1,254
33.2,266
33.3,277
33.4,287
33.5,297
33.6,305
33.7,302
33.8,298
33.9,296
34,294
34.1,294
34.2,292
34.3,290
34.4,290
34.5,290
34.6,291
34.7,291
34.8,292
34.9,293
35,295
35.1,297
35.2,301
35.3,306
35.4,311
35.5,316
35.6,321
35.7,326
35.8,329
35.9,329
36,325
36.1,322
36.2,319
36.3,315
36.4,311
36.5,311
36.6,311
36.7,311
36.8,311
36.9,311
37,311
37.1,310
37.2,310
37.3,308
37.4,306
37.5,305
37.6,304
37.7,303
37.8,303
37.9,305
38,306
38.1,308
38.2,310
38.3,311
38.4,310
38.5,308
38.6,305
38.7,302
38.8,299
38.9,296
39,294
39.1,294
39.2,296
39.3,297
39.4,302
39.5,308
39.6,316
39.7,324
39.8,333
39.9,336
40,340
40.1,344
40.2,349
40.3,355
40.4,355
40.5,354
40.6,354
40.7,355
40.8,356
40.9,356
41,352
41.1,350
41.2,350
41.3,350
41.4,351
41.5,348
41.6,346
41.7,344
41.8,343
41.9,342
42,343
42.1,343
42.2,344
42.3,346
42.4,349
42.5,351
42.6,351
42.7,350
42.8,350
42.9,351
43,353
43.1,356
43.2,358
43.3,361
43.4,365
43.5,368
43.6,369
43.7,368
43.8,365
43.9,362
44,354
44.1,344
44.2,334
44.3,326
44.4,318
44.5,310
44.6,303
44.7,296
44.8,291
44.9,288
45,286
45.1,290
45.2,295
45.3,300
45.4,307
45.5,316
45.6,324
45.7,332
45.8,339
45.9,345
46,351
46.1,354
46.2,357
46.3,361
46.4,365
46.5,368
46.6,368
46.7,368
46.8,369
46.9,371
47,373
47.1,371
47.2,370
47.3,370
47.4,370
47.5,369
47.6,369
47.7,372
47.8,375
47.9,377
48,380
48.1,383
48.2,389
48.3,395
48.4,400
48.5,405
48.6,409
48.7,407
48.8,404
48.9,399
49,393
49.1,385
49.2,376
49.3,365
49.4,357
49.5,349
49.6,342
49.7,337
49.8,333
49.9,331
50,330
50.1,330
50.2,332
50.3,336
50.4,338
50.5,341
50.6,344
50.7,350
50.8,358
50.9,366
51,372
51.1,378
51.2,385
51.3,389
51.4,394
51.5,398
51.6,402
51.7,406
51.8,406
51.9,407
52,408
52.1,408
52.2,407
52.3,404
52.4,400
52.5,396
52.6,393
52.7,390
52.8,388
52.9,386
53,386
53.1,386
53.2,385
53.3,385
53.4,386
53.5,388
53.6,390
53.7,392
53.8,395
53.9,400
54,404
54.1,407
54.2,410
54.3,410
54.4,410
54.5,409
54.6,409
54.7,408
54.8,407
54.9,405
55,403
55.1,401
55.2,400
55.3,398
55.4,393
55.5,386
55.6,379
55.7,372
55.8,365
55.9,358
56,350
56.1,344
56.2,338
56.3,334
56.4,332
56.5,333
56.6,336
56.7,340
56.8,344
56.9,349
57,357
57.1,366
57.2,375
57.3,383
57.4,392
57.5,395
57.6,395
57.7,392
57.8,388
57.9,382
58,374
58.1,365
58.2,359
58.3,355
58.4,352
58.5,351
58.6,354
58.7,358
58.8,363
58.9,369
59,376
59.1,383
59.2,390
59.3,393
59.4,394
59.5,395
59.6,393
59.7,393
59.8,392
