Length,HU
0.1,255
0.2,257
0.3,259
0.4,260
0.5,260
0.6,259
0.7,259
0.8,258
0.9,257
1,256
1.1,256
1.2,255
1.3,255
1.4,254
1.5,254
1.6,253
1.7,252
1.8,252
1.9,251
2,250
2.1,248
2.2,246
2.3,245
2.4,243
2.5,242
2.6,241
2.7,241
2.8,240
2.9,240
3,240
3.1,240
3.2,240
3.3,239
3.4,239
3.5,237
3.6,236
3.7,235
3.8,233
3.9,231
4,229
4.1,228
4.2,226
4.3,224
4.4,221
4.5,218
4.6,215
4.7,212
4.8,208
4.9,206
5,204
5.1,203
5.2,201
5.3,200
5.4,199
5.5,200
5.6,200
5.7,201
5.8,202
5.9,203
6,203
6.1,204
6.2,204
6.3,204
6.4,204
6.5,204
6.6,204
6.7,203
6.8,203
6.9,203
7,203
7.1,203
7.2,203
7.3,203
7.4,204
7.5,205
7.6,207
7.7,208
7.8,210
7.9,211
8,213
8.1,214
8.2,215
8.3,217
8.4,219
8.5,220
8.6,222
8.7,224
8.8,225
8.9,226
9,227
9.1,227
9.2,228
9.3,227
9.4,226
9.5,223
9.6,221
9.7,218
9.8,216
9.9,214
10,213
10.1,212
10.2,212
10.3,213
10.4,213
10.5,214
10.6,216
10.7,218
10.8,220
10.9,221
11,223
11.1,224
11.2,225
11.3,226
11.4,226
11.5,226
11.6,226
11.7,226
11.8,226
11.9,226
12,226
12.1,226
12.2,225
12.3,225
12.4,225
12.5,226
12.6,227
12.7,228
12.8,229
12.9,230
13,231
13.1,233
13.2,235
13.3,236
13.4,237
13.5,238
13.6,239
13.7,241
13.8,242
13.9,244
14,243
14.1,240
14.2,238
14.3,235
14.4,232
14.5,228
14.6,222
14.7,217
14.8,210
14.9,204
15,197
15.1,188
15.2,180
15.3,171
15.4,161
15.5,152
15.6,142
15.7,134
15.8,125
15.9,117
16,109
16.1,102
16.2,97
16.3,92
16.4,89
16.5,85
16.6,82
16.7,79
16.8,77
16.9,75
17,74
17.1,74
17.2,73
17.3,73
17.4,74
17.5,76
17.6,77
17.7,79
17.8,81
17.9,84
18,87
18.1,90
18.2,92
18.3,95
18.4,97
18.5,98
18.6,99
18.7,100
18.8,100
18.9,101
19,101
19.1,100
19.2,99
19.3,97
19.4,95
19.5,94
19.6,92
19.7,90
19.8,88
19.9,86
20,84
20.1,82
20.2,81
20.3,79
20.4,77
20.5,75
20.6,73
20.7,71
20.8,70
20.9,68
21,66
21.1,65
21.2,64
21.3,63
21.4,62
21.5,62
21.6,61
21.7,60
21.8,60
21.9,59
22,59
22.1,59
22.2,59
22.3,59
22.4,60
22.5,60
22.6,60
22.7,61
22.8,61
22.9,61
23,64
23.1,67
23.2,69
23.3,72
23.4,75
23.5,78
23.6,81
23.7,85
23.8,88
23.9,91
24,94
24.1,96
24.2,96
24.3,96
24.4,96
24.5,96
24.6,95
24.7,92
24.8,89
24.9,86
25,83
25.1,80
25.2,77
25.3,73
25.4,70
25.5,66
25.6,63
25.7,61
25.8,60
25.9,62
26,63
26.1,64
26.2,66
26.3,68
26.4,71
26.5,74
26.6,77
26.7,80
26.8,83
26.9,86
27,91
27.1,95
27.2,99
27.3,104
27.4,108
27.5,114
27.6,121
27.7,128
27.8,135
27.9,143
28,150
28.1,160
28.2,170
28.3,181
28.4,192
28.5,202
28.6,213
28.7,221
28.8,229
28.9,237
29,244
29.1,251
29.2,255
29.3,258
29.4,260
29.5,262
29.6,264
29.7,266
29.8,267
29.9,268
30,270
30.1,271
30.2,272
30.3,274
30.4,277
30.5,280
30.6,283
30.7,286
30.8,289
30.9,293
31,296
31.1,299
31.2,302
31.3,304
31.4,306
31.5,306
31.6,306
31.7,306
31.8,305
31.9,304
32,302
32.1,300
32.2,298
32.3,295
32.4,291
32.5,288
32.6,286
32.7,284
32.8,282
32.9,281
33,279
33.1,278
33.2,279
33.3,281
33.4,284
33.5,286
33.6,288
33.7,290
33.8,293
33.9,296
34,300
34.1,303
34.2,306
34.3,307
34.4,306
34.5,306
34.6,306
34.7,305
34.8,304
34.9,303
35,302
35.1,300
35.2,300
35.3,299
35.4,299
35.5,299
35.6,299
35.7,299
35.8,299
35.9,300
36,302
36.1,306
36.2,312
36.3,318
36.4,323
36.5,329
36.6,333
36.7,338
36.8,342
36.9,346
37,350
37.1,352
37.2,353
37.3,354
37.4,354
37.5,354
37.6,354
37.7,354
37.8,353
37.9,351
38,350
38.1,347
38.2,345
38.3,343
38.4,342
38.5,340
38.6,339
38.7,338
38.8,337
38.9,337
39,337
39.1,337
39.2,336
39.3,336
39.4,337
39.5,337
39.6,337
39.7,338
39.8,339
39.9,339
40,340
40.1,340
40.2,341
40.3,342
40.4,342
40.5,343
40.6,344
40.7,346
40.8,347
40.9,349
41,351
41.1,352
