Length,HU
0.1,642
0.2,644
0.3,648
0.4,651
0.5,654
0.6,658
0.7,659
0.8,660
0.9,660
1,660
1.1,660
1.2,659
1.3,657
1.4,656
1.5,655
1.6,653
1.7,650
1.8,647
1.9,644
2,642
2.1,639
2.2,636
2.3,634
2.4,631
2.5,629
2.6,627
2.7,625
2.8,623
2.9,622
3,621
3.1,620
3.2,619
3.3,618
3.4,617
3.5,617
3.6,617
3.7,616
3.8,616
3.9,615
4,615
4.1,615
4.2,615
4.3,615
4.4,615
4.5,616
4.6,615
4.7,615
4.8,616
4.9,617
5,618
5.1,620
5.2,622
5.3,624
5.4,626
5.5,629
5.6,632
5.7,635
5.8,639
5.9,641
6,642
6.1,643
6.2,644
6.3,644
6.4,644
6.5,644
6.6,643
6.7,641
6.8,639
6.9,636
7,634
7.1,633
7.2,630
7.3,629
7.4,627
7.5,625
7.6,624
7.7,624
7.8,624
7.9,625
8,626
8.1,627
8.2,629
8.3,630
8.4,631
8.5,633
8.6,634
8.7,635
8.8,635
8.9,636
9,636
9.1,635
9.2,634
9.3,632
9.4,630
9.5,627
9.6,624
9.7,620
9.8,615
9.9,611
10,604
10.1,597
10.2,590
10.3,582
10.4,574
10.5,564
10.6,554
10.7,544
10.8,534
10.9,523
11,512
11.1,501
11.2,489
11.3,477
11.4,466
11.5,454
11.6,443
11.7,432
11.8,421
11.9,411
12,400
12.1,389
12.2,378
12.3,367
12.4,356
12.5,345
12.6,333
12.7,322
12.8,310
12.9,298
13,287
13.1,275
13.2,263
13.3,252
13.4,241
13.5,230
13.6,220
13.7,210
13.8,199
13.9,189
14,179
14.1,170
14.2,161
14.3,153
14.4,146
14.5,139
14.6,132
14.7,126
14.8,121
14.9,115
15,111
15.1,106
15.2,101
15.3,97
15.4,94
15.5,91
15.6,89
15.7,87
15.8,85
15.9,84
16,84
16.1,84
16.2,84
16.3,84
16.4,84
16.5,85
16.6,85
16.7,85
16.8,86
16.9,86
17,86
17.1,86
17.2,86
17.3,86
17.4,86
17.5,86
17.6,87
17.7,87
17.8,88
17.9,88
18,89
18.1,89
18.2,90
18.3,90
18.4,90
18.5,90
18.6,90
18.7,89
18.8,88
18.9,86
19,84
19.1,83
19.2,82
19.3,81
19.4,80
19.5,79
19.6,78
19.7,77
19.8,77
19.9,77
20,76
20.1,75
20.2,74
20.3,74
20.4,73
20.5,72
20.6,72
20.7,71
20.8,71
20.9,72
21,72
21.1,73
21.2,74
21.3,75
21.4,77
21.5,79
21.6,81
21.7,83
21.8,85
21.9,88
22,91
22.1,94
22.2,97
22.3,100
22.4,103
22.5,108
22.6,113
22.7,119
22.8,124
22.9,130
23,137
23.1,144
23.2,151
23.3,159
23.4,165
23.5,172
23.6,178
23.7,184
23.8,189
23.9,194
24,199
24.1,204
24.2,209
24.3,213
24.4,218
24.5,223
24.6,227
24.7,231
24.8,235
24.9,240
25,244
25.1,248
25.2,251
25.3,255
25.4,258
25.5,262
25.6,265
25.7,268
25.8,272
25.9,274
26,276
26.1,278
26.2,279
26.3,280
26.4,281
26.5,282
26.6,283
26.7,283
26.8,283
26.9,283
27,283
27.1,283
27.2,284
27.3,285
