Length,HU
0.1,618
0.2,626
0.3,639
0.4,652
0.5,664
0.6,674
0.7,676
0.8,677
0.9,678
1,678
1.1,679
1.2,679
1.3,681
1.4,684
1.5,689
1.6,694
1.7,698
1.8,703
1.9,703
2,699
2.1,696
2.2,693
2.3,690
2.4,687
2.5,685
2.6,688
2.7,693
2.8,698
2.9,701
3,703
3.1,705
3.2,707
3.3,709
3.4,712
3.5,715
3.6,720
3.7,728
3.8,734
3.9,739
4,742
4.1,736
4.2,730
4.3,724
4.4,719
4.5,715
4.6,713
4.7,712
4.8,710
4.9,709
5,712
5.1,714
5.2,714
5.3,713
5.4,710
5.5,708
5.6,706
5.7,705
5.8,705
5.9,706
6,708
6.1,709
6.2,704
6.3,698
6.4,693
6.5,689
6.6,687
6.7,691
6.8,694
6.9,695
7,695
7.1,694
7.2,693
7.3,692
7.4,691
7.5,694
7.6,700
7.7,704
7.8,708
7.9,710
8,708
8.1,705
8.2,701
8.3,698
8.4,698
8.5,698
8.6,700
8.7,704
8.8,704
8.9,703
9,701
9.1,701
9.2,702
9.3,703
9.4,704
9.5,705
9.6,707
9.7,708
9.8,708
9.9,707
10,706
10.1,704
10.2,701
10.3,698
10.4,691
10.5,688
10.6,691
10.7,695
10.8,701
10.9,707
11,710
11.1,709
11.2,707
11.3,706
11.4,702
11.5,698
11.6,695
11.7,694
11.8,691
11.9,686
12,684
12.1,682
12.2,681
12.3,680
12.4,679
12.5,678
12.6,678
12.7,683
12.8,689
12.9,695
13,701
13.1,709
13.2,715
13.3,718
13.4,720
13.5,720
13.6,718
13.7,716
13.8,715
13.9,714
14,704
14.1,696
14.2,688
14.3,680
14.4,673
14.5,667
14.6,662
14.7,657
14.8,656
14.9,662
15,669
15.1,677
15.2,686
15.3,691
15.4,695
15.5,700
15.6,705
15.7,706
15.8,705
15.9,703
16,700
16.1,696
16.2,691
16.3,684
16.4,677
16.5,669
16.6,668
16.7,666
16.8,663
16.9,657
17,647
17.1,638
17.2,631
17.3,625
17.4,626
17.5,630
17.6,633
17.7,636
17.8,636
17.9,629
18,622
18.1,610
18.2,596
18.3,579
18.4,562
18.5,543
18.6,524
18.7,505
18.8,489
18.9,476
19,461
19.1,446
19.2,432
19.3,417
19.4,402
19.5,386
19.6,372
19.7,356
19.8,338
19.9,317
20,302
20.1,291
20.2,283
20.3,277
20.4,266
20.5,251
20.6,238
20.7,227
20.8,217
20.9,210
21,201
21.1,192
21.2,184
21.3,175
21.4,166
21.5,158
21.6,150
21.7,142
21.8,138
21.9,133
22,129
22.1,123
22.2,112
22.3,103
22.4,94
22.5,88
22.6,82
22.7,76
22.8,72
22.9,68
23,66
23.1,65
23.2,65
23.3,66
23.4,67
23.5,69
23.6,72
23.7,76
23.8,81
23.9,89
24,96
24.1,101
24.2,106
24.3,101
24.4,95
24.5,84
24.6,74
24.7,65
24.8,58
24.9,54
25,52
25.1,52
25.2,51
25.3,50
25.4,50
25.5,50
25.6,52
25.7,53
25.8,53
25.9,48
26,46
26.1,48
26.2,52
26.3,59
26.4,66
26.5,73
26.6,79
26.7,84
26.8,89
26.9,82
27,77
27.1,72
27.2,69
27.3,65
27.4,61
27.5,58
27.6,56
27.7,57
27.8,62
27.9,67
28,72
28.1,77
28.2,87
28.3,97
28.4,108
28.5,119
28.6,120
28.7,115
28.8,106
28.9,97
29,88
29.1,78
29.2,70
29.3,63
29.4,59
29.5,56
29.6,55
29.7,54
29.8,55
29.9,61
30,68
30.1,75
30.2,81
30.3,86
30.4,89
30.5,91
30.6,93
30.7,93
30.8,93
30.9,93
31,94
31.1,95
31.2,94
31.3,92
31.4,89
31.5,84
31.6,80
31.7,75
31.8,70
31.9,63
32,56
32.1,53
32.2,50
32.3,49
32.4,47
32.5,45
32.6,43
32.7,43
32.8,43
32.9,43
33,44
33.1,45
33.2,46
33.3,50
33.4,56
33.5,64
33.6,72
33.7,81
33.8,90
33.9,97
34,103
34.1,109
34.2,110
34.3,110
34.4,110
34.5,111
34.6,111
34.7,112
34.8,112
34.9,113
35,112
35.1,109
35.2,107
35.3,105
35.4,104
35.5,105
35.6,108
35.7,113
35.8,117
35.9,124
36,132
36.1,142
36.2,153
36.3,160
36.4,158
36.5,150
36.6,141
36.7,131
36.8,118
36.9,105
37,94
37.1,84
37.2,87
37.3,93
37.4,99
37.5,104
37.6,108
37.7,109
37.8,109
37.9,106
38,102
38.1,96
38.2,88
38.3,80
38.4,70
38.5,65
38.6,62
38.7,59
38.8,54
38.9,54
39,55
39.1,57
39.2,60
39.3,64
39.4,70
39.5,75
39.6,80
39.7,84
39.8,86
39.9,88
40,89
40.1,90
40.2,88
40.3,86
40.4,84
40.5,81
40.6,80
40.7,83
40.8,86
40.9,88
41,90
41.1,92
41.2,94
41.3,96
41.4,99
41.5,101
41.6,102
41.7,103
41.8,103
41.9,102
42,101
42.1,100
42.2,99
42.3,97
42.4,94
42.5,91
42.6,88
42.7,84
42.8,80
42.9,76
43,72
43.1,67
43.2,65
43.3,62
43.4,61
43.5,59
43.6,61
43.7,67
43.8,73
43.9,79
44,85
44.1,90
44.2,94
44.3,99
44.4,103
44.5,102
44.6,102
44.7,103
44.8,105
44.9,106
45,106
45.1,106
45.2,108
45.3,110
45.4,110
45.5,111
45.6,111
45.7,110
45.8,107
45.9,104
46,101
46.1,98
46.2,92
46.3,85
46.4,76
46.5,69
46.6,64
46.7,64
46.8,63
46.9,63
47,63
47.1,71
47.2,78
47.3,85
47.4,91
47.5,94
47.6,96
47.7,97
47.8,100
47.9,99
48,94
48.1,88
48.2,82
48.3,75
48.4,69
48.5,64
48.6,59
48.7,54
48.8,54
48.9,54
49,53
49.1,51
49.2,51
49.3,52
49.4,53
49.5,54
49.6,55
49.7,59
49.8,63
49.9,68
50,74
50.1,80
50.2,86
50.3,91
50.4,95
50.5,99
50.6,100
50.7,100
50.8,100
50.9,99
51,98
51.1,97
51.2,96
51.3,95
51.4,91
51.5,87
51.6,85
51.7,84
51.8,81
51.9,77
52,72
52.1,69
52.2,66
52.3,66
52.4,66
52.5,69
52.6,72
52.7,79
52.8,86
52.9,93
53,99
53.1,102
53.2,104
53.3,105
53.4,105
53.5,104
53.6,104
53.7,103
53.8,101
53.9,99
54,95
54.1,90
54.2,83
54.3,75
54.4,70
54.5,66
54.6,61
54.7,57
54.8,54
54.9,53
55,52
55.1,52
55.2,53
55.3,58
55.4,62
55.5,67
55.6,74
55.7,80
55.8,84
55.9,86
56,86
56.1,85
56.2,83
56.3,84
56.4,84
56.5,85
56.6,86
56.7,86
56.8,86
56.9,85
57,82
57.1,79
57.2,75
57.3,69
57.4,65
57.5,61
57.6,58
57.7,56
57.8,56
57.9,58
58,60
58.1,63
58.2,66
58.3,66
58.4,65
58.5,65
58.6,65
58.7,64
58.8,64
58.9,63
59,61
59.1,61
59.2,60
59.3,58
59.4,56
59.5,54
59.6,54
59.7,55
59.8,55
59.9,55
60,58
60.1,63
60.2,68
60.3,75
60.4,81
60.5,86
60.6,90
60.7,93
60.8,95
60.9,94
61,93
61.1,91
61.2,89
61.3,89
61.4,89
61.5,89
61.6,90
61.7,89
61.8,88
61.9,85
62,80
62.1,72
62.2,64
62.3,56
62.4,49
62.5,44
62.6,44
62.7,46
62.8,49
62.9,52
63,56
63.1,59
63.2,62
63.3,67
63.4,70
63.5,71
63.6,73
63.7,75
63.8,76
63.9,76
64,74
64.1,72
64.2,69
64.3,69
64.4,70
64.5,71
64.6,73
64.7,76
64.8,80
64.9,85
65,89
65.1,93
65.2,95
65.3,97
65.4,96
65.5,93
65.6,86
65.7,80
65.8,74
65.9,70
66,68
66.1,68
66.2,69
66.3,70
66.4,72
66.5,72
66.6,73
66.7,73
66.8,73
66.9,71
67,69
67.1,69
67.2,69
67.3,71
67.4,73
67.5,76
67.6,80
67.7,84
67.8,87
67.9,90
68,92
68.1,94
68.2,96
68.3,97
68.4,97
68.5,98
68.6,97
68.7,95
68.8,91
68.9,87
69,78
69.1,69
69.2,59
69.3,51
69.4,45
69.5,45
69.6,47
69.7,51
69.8,57
69.9,66
70,74
70.1,80
70.2,86
70.3,87
70.4,86
70.5,84
70.6,82
70.7,79
70.8,77
70.9,76
71,75
71.1,77
71.2,79
71.3,81
71.4,82
71.5,84
71.6,85
71.7,86
71.8,87
71.9,88
72,87
72.1,85
72.2,81
72.3,77
72.4,72
72.5,71
72.6,71
72.7,71
